ID,Department,Number,Name,Description
165,CE,7993,Independent Research in CE,"Weekly meeting of graduate students and faculty for presentation and discussion of contemporary research and practice in civil engineering. This seminar is offered every spring and fall semesters. Prerequisite: For students who have established resident credit. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
166,CE,8001,Graduate Teaching Instruction,"Detailed independent study of graduate course material under the guidance of a faculty member. Doctoral-level graduate students. Prerequisites: Instructor Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
167,CE,6995,Supervised Project Research,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member. Master's-level graduate students. Prerequisites: Instructor Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
168,CE,2001,Sustainability Science,"Sustainability is the challenge of meeting today's needs without impairing the needs of future societies. This course seeks to provide an integrated scientific foundation to understand the sustainability of environmental systems and of some science-based sustainable solutions. Sustainability science will draw from a spectrum of relevant sciences, including chemistry, biology, environmental science, and physics. Pre-requisite: CHEM 1410 or CHEM 1810 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
169,CE,2310,Strength of Materials,"Normal stress and strain, thermal strain, shear stress, shear strain; stress and strain transformations; Mohr's circle for plane stress and strain; stresses due to combined loading; axially loaded members; torsion of circular and thin-walled closed sections; deformation, strains and stresses in beams; beam deflections; column stability; energy concepts in mechanics. Cross-listed as MAE 2310. Prerequisite: CE 2300 or MAE 2300 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
170,CE,3050,Energy Systems and the Environment,"Course provides a hands-on overview in energy infrastructure as it relates to climate and the environment. Students will learn quantitative tools to analyze power, buildings, manufacturing, and transportation systems. The course will explore the broad impacts of the energy transition away from fossil fuels. Students will undertake an open-ended, team-based life cycle assessment project. Prerequisites: CE2100 or CHE2215. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
171,CE,3220,Water Resources Engineering,"Covers topics related to hydraulics and hydrology, including complicated pipes designs, pumps, open channel, rainfall, evaporation, and surface runoff applied to stormwater and bmp design. Applications include water supply, drainage, flood control, and water control, and computer modeling. Prerequisite: CE 3210 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
172,CE,3330,Introduction to Design of Structural Systems,"Introduction to computational tools and approaches common in water resource engineering. Topics include: geographic information systems (GIS) for water resources; software tools applied for hydrologic and hydraulic data analysis and visualization; and use of industry-standard hydrology and hydraulic models water resource system simulation and design. Pre/Coreq: Students must have completed or currently enrolled in CE 3220. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
173,CE,4050,Risk Analysis,"This course is an introduction to the theory, methods, and applications of risk analysis and systems engineering. The topics include research and development priorities, risk-cost-benefit analysis, emergency management, human health and safety, environmental risk, extreme events, infrastructure resilience, system interdependencies, and enterprise systems. Prerequisites: Course in Probability/Statistics; Third or fourth year standing in SEAS; Or permission of instructor. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
174,CE,4500,Special Topics in Civil Engineering,"This course is an introduction to the theory, methods, and applications of risk analysis and systems engineering. The topics include research and development priorities, risk-cost-benefit analysis, emergency management, human health and safety, environmental risk, extreme events, infrastructure resilience, system interdependencies, and enterprise systems. Prerequisites: Course in Probability/Statistics; Third or fourth year standing in SEAS; Or permission of instructor. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
175,CE,6280,Stochastic Hydrology,"The goal of this course is to illustrate the importance of uncertainty analysis in hydrology. Topics include extreme value theory applied to floods & droughts, regionalization methods for predictions in ungauged basins, & trend analysis of historical time series. Students should leave the course with an understanding of how to apply these methods in practice to design civil infrastructure systems that are robust to hydrologic uncertainty. Prerequisite: APMA 3100 and CE 3220 or Equivalent window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
176,CE,6370,Dynamics of Structures,"Study of the dynamic behavior of such structures as beams, rigid frames, floors, bridges, and multi-story buildings under the action of various disturbing forces such as wind, blasts, earthquakes, vehicles, machinery, etc.; dynamic modeling of single, multidegree of freedom, and continuous systems; damping; numerical integration; Prerequisite: Concrete and metal structure design. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
177,CE,8999,Thesis,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. Registration may be repeated as necessary. Prerequisites: Instructor Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
178,CE,3210,Fluid Mechanics,"This course will examine complex issues associated with providing potable water to the world's population. Topics will include the use of surface and ground water as potable water supplies, fund. of water chemistry, the engineering principles used to design modern water treatment and distribution systems, and problems associated with providing potable water in developing global communities. Pre-reqs: CHEM 1410 or CHEM 1810, and APMA 2130 or MATH 3250 or APMA 2501 - Differential Equations & Linear Algebra. (CE 3210 recommended) window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
179,CE,3300,Structural Mechanics,"Studies the statics and dynamics of incompressible fluids, primarily water. The basic principles of fluid flow, energy equation, and momentum equation, are presented and applied to closed conduit flow, open channel flow, and problems of flow measurement pertinent to civil engineering practices. Prerequisite: CE 2300 or equivalent. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
180,CE,4995,Civil Engineering Research,"Study of a civil engineering problem in depth by each student using library, computer, or laboratory facilities. The project is conducted in close consultation with departmental faculty and involves survey, analysis, or project development. Progress reports and a comprehensive written report are required. May be repeated if necessary. Prerequisite: Contact individual professor for Instructor Permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
181,CE,5045,Construction Practice,"This course offers a practical immersion in a live campus construction project, providing direct exposure to the roles and duties of Project Engineers, Managers, and Superintendents. By engaging in field activities, meetings, and context analysis, participants gain valuable hands-on understanding of construction management, problem-solving, and the decision-making process, preparing them with the competencies valued by industry experts. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
182,CE,5400,Traffic Operations,"This course provides students with fundamental knowledge of traffic operations including traffic data collection and analysis, safety and crash studies, traffic flow theory, highway capacity analysis, signalized intersection design and analysis, simulation modeling, and sustainable transportation system. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
183,CE,5500,Special Topics in Civil Engineering,"This course provides students with fundamental knowledge of traffic operations including traffic data collection and analysis, safety and crash studies, traffic flow theory, highway capacity analysis, signalized intersection design and analysis, simulation modeling, and sustainable transportation system. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
184,CE,6070,Smart and Healthy Buildings,"This class focuses on the next generation of buildings where smart devices, Internet of Things (IoT) systems, machine learning applications, and simulations platforms will be utilized to contextualize the changes in indoor environments and occupants¿ needs, allowing building systems (e.g., HVAC, lighting, blinds) to dynamically adjust themselves to enhance the indoor environmental conditions from the health, comfort, and energy perspectives. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
185,CE,6230,Hydrology,"Stresses the quantitative description and the physical basis of hydrology. Both deterministic and stochastic methodology are applied to the analysis of the hydrologic cycle, namely, precipitation, evaporation, overland flow and stream flow, infiltration, and groundwater flow. The use of compute simulation models, especially microcomputer based models, is emphasized. Prerequisite: Instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
186,CE,6260,Environmental Microbiology and Biological Waste Treatment,"We will explore terminology and concepts for characterizing and mathematically modeling human impacts on microbial systems and vice versa. Special consideration will be given to microbe-mediated cycling of organic materials (i.e., pollutants) in natural and engineered systems, including: conventional water and wastewater treatment, municipal landfills, pristine and contaminated groundwater and surface waters, etc. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
187,CE,6731,Vibrations,"Introduces continuum mechanics and mechanics of deformable solids. Vectors and cartesian tensors, stress, strain, deformation, equations of motion, constitutive laws, introduction to elasticity, thermal elasticity, viscoelasticity, plasticity, and fluids. Taught concurrently with APMA 6020, AM 6020, MAE 6020. Prerequisite: Instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
188,CE,7001,Graduate Seminar,"Weekly meeting of graduate students and faculty for presentation and discussion of contemporary research and practice in civil engineering. This seminar is offered every spring and fall semesters. Prerequisite: For students who have established resident credit. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
189,CE,5025,"Construction Planning, Scheduling, and Control","Course equips you with essential knowledge & skills for managing complex projects. Navigate project fundamentals and apply hands-on techniques for successful outcomes. Master Critical Path Method for determining timelines & critical tasks, and utilize Resource-Based Scheduling to allocate resources efficiently. Gain practical experience with Oracle's Primavera P6 & expert insights from Plan Academy to enhance your scheduling software expertise. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
190,CE,2020,Engineering Economic Analysis,"This purpose of this course is to introduce and familiarize students with engineering economics. Students will apply the concepts of the time value of money to infrastructure management. Students will be able to compare cash flows using net present value, future value, and cost-benefit analysis. Students will use cost indices to complete cost estimations. Students will be able to make appropriate adjustments for depreciation and inflation. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
191,CE,2110,Environmental Engineering Laboratory,"This purpose of this course is to introduce and familiarize students with engineering economics. Students will apply the concepts of the time value of money to infrastructure management. Students will be able to compare cash flows using net present value, future value, and cost-benefit analysis. Students will use cost indices to complete cost estimations. Students will be able to make appropriate adjustments for depreciation and inflation. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
192,CE,3000,Civil Engineering Systems Analysis,"Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topics for each semester are announced at the time of course enrollment. Check with the course instructor regarding any prerequisites. Prerequisite: Instructor's Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
193,CE,3010,Project Business Planning,"This course focuses on the analysis and management of large-scale civil engineering systems. Students will be introduced to problem formulation, linear programming, and decision analysis, with applications in structural optimization, traffic flow, resource allocation and environmental design. Prerequisites: CE 2010 or SYS 2001 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
194,CE,3120,Solid Waste Management,"This course will examine complex issues associated with providing potable water to the world's population. Topics will include the use of surface and ground water as potable water supplies, fund. of water chemistry, the engineering principles used to design modern water treatment and distribution systems, and problems associated with providing potable water in developing global communities. Pre-reqs: CHEM 1410 or CHEM 1810, and APMA 2130 or MATH 3250 or APMA 2501 - Differential Equations & Linear Algebra. (CE 3210 recommended) window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
195,CE,3222,Water Resources Engineering Workshop,"Covers topics related to hydraulics and hydrology, including complicated pipes designs, pumps, open channel, rainfall, evaporation, and surface runoff applied to stormwater and bmp design. Applications include water supply, drainage, flood control, and water control, and computer modeling. Prerequisite: CE 3210 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
196,CE,3400,Transportation Infrastructure Design,"Introduction of concepts, approaches, procedures, and codes for the design of civil structural systems with emphasis on the characterization of structural loads, structural systems and system behavior on structural systems constructed of steel and reinforced concrete. Topics to include engineering properties of materials, design and behavior of compression members, flexural members, and tension members. Prerequisite: CE3300 or equivalent. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
197,CE,4040,Sustainability and Systems in the Built Environment,"Students will learn how to use Building Information Modeling (BIM) to 1) support the decision-making over a project life cycle and 2) improve coordination between stakeholders throughout the design and construction stages. With this hands-on course, students will learn how to integrate all models of a project to visualize construction processes and better predict, manage, and communicate project outcomes. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
198,CE,4990,Civil Engineering Research and Design,"The course emphasizes the formulation of environmental management issues as optimization problems. Simulation models will be presented and then combined with optimization algorithms. Environmental systems to be addressed include stream quality, air quality, water supply, waste management, groundwater remediation, and reservoir operations. Optimization techniques presented include linear programming, dynamic programming, and genetic algorithms. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
199,CE,5035,Construction Estimating and Bidding,"Study of a civil engineering problem in depth by each student using library, computer, or laboratory facilities. The project is conducted in close consultation with departmental faculty and involves survey, analysis, or project development. Progress reports and a comprehensive written report are required. May be repeated if necessary. Prerequisite: Contact individual professor for Instructor Permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
200,CE,5300,Advanced Design of Metal Structures,"This course provides students with an in-depth understanding of how a general contractor pursues, estimates, bids and procures work. The course will cover the full range of activities from conceptual estimating, to scoping and bidding projects, to the submission of proposals to the general contractor's clients as well as the procurement types and the corresponding strategies that a general contractor employs in the pursuit of these procurements. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
201,CE,6015,Project Management,"Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
202,CE,6025,Virtual Design and Construction (VDC) Coordination and Control,"In this course, students will learn how to use Building Information Modeling to 1) support the decision-making over a project life cycle and 2) improve coordination between stakeholders throughout the design and construction stages. With this hands-on course, students will learn how to integrate all project models to visualize construction process and better predict, manage, and communicate project outcomes. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
203,CE,1501,Special Topics in Civil & Environmental Engineering,"Student-led special topic courses which vary by semester window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
204,CE,4210,Stormwater Management,"Emphasizes the management of stormwater quantity and quality, especially in urban areas. Course includes impacts of stormwater on infrastructure and ecosystems, hydrologic and contaminant transport principles, stormwater regulation, structural and non-structural stormwater management approaches, and modeling tools for stormwater analysis and management. Prerequisite: CE 3220 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
205,CE,2300,Statics,"Basic concepts of mechanics: systems of forces and couples: equilibrium of particles and rigid bodies; analysis of structures: trusses, frames, machines; internal forces, shear and bending moment diagrams; distributed forces; friction, centroids and moments of inertia; principle of virtual work; and computer applications. Cross-listed as MAE 2300. Prerequisite: PHYS 1425 or PHYS 1420 or PHYS 1710. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
206,CE,3402,Transportation Infrastructure Design Workshop,"Computer aided design applications of the fundamentals of transportation infrastructure design using real world scenarios. Application topics include: highway geometric design for highway facilities; intersection design including at-grade, roundabouts, and grade separated interchanges, and the transportation improvements associated with a new development. Co-requisite: CE 3400. Prerequisite: CE 2010, CE 2305, CE 3700 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
207,CE,4160,Environmental Microbiology and Biological Waste Treatment,"We will explore terminology and concepts for characterizing and mathematically modeling human impacts on microbial systems and vice versa. Special consideration will be given to microbe-mediated cycling of organic materials (i.e., pollutants) in natural and engineered systems, including: conventional water and wastewater treatment, municipal landfills, pristine and contaminated groundwater and surface waters, etc. Prerequisites: CE 2100 and CE 3100 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
208,CE,5410,Introduction to Transportation Planning,"Introduces the legal requirements, framework, and principles of urban and statewide planning. Focuses on describing and applying the methodology of the forecasting system of the transportation planning process, including inventory, forecasts of population and economic activity, network analysis, and travel demand analysis. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
209,CE,2030,Management of Engineering and Construction Projects,"This course provides the essential aspects of the ""Project lifecycle"" process from the initial conception phase through the completion phase of a project. Specifically, by focusing on the Architecture, Engineering and Construction (AEC) projects, students will be introduced to important concepts related to planning and financing a project, budgeting and scheduling, and managing and controlling a technical engineering project. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
210,CE,3710,Introduction to Geotechnical Engineering,"Fundamentals of structural mechanics: equilibrium compatibility, determinacy, stability; mathematical models of structural elements: stress resultants in bars, beams, and framed structures; calculation of deflections; general analysis of structures: concepts of stiffness and flexibility, force and displacement methods of analysis. Prerequisite: CE 2310. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
211,CE,4320,Advanced Reinforced Concrete Design,"Advanced topics in reinforced concrete design, including design of slender columns, deflections, torsion in reinforced concrete, design of continuous frames, and two-way floor systems. Introduction to design of tall structures in reinforced concrete, and design of shear walls. Prerequisite: CE 3330. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
212,CE,6290,Hydroinformatics,"In this course, students will become familiar with the different ways of exercising leadership and the essential negotiation concepts and strategies. They will identify their strengths and weaknesses and learn how to best work with others in a leadership context. The course's fundamental concepts will be learned through readings and class discussions, and skills will be practiced with role-playing simulations and construction-related case studies. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
213,CE,6440,Advanced Transportation Systems,"The surface transportation system is transforming into a cyber-physical system, with the wide-scale use of sensors and communications in infrastructure management, integration of wireless device apps for improved traveler situational awareness, and introduction of connected and automated vehicles. This course explores the resulting ""intelligent transportation system"" through readings, case studies, projects, and discussion forums. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
214,CE,4025,Virtual Design and Construction (VDC) Coordination and Control,"Students will learn how to use Building Information Modeling (BIM) to 1) support the decision-making over a project life cycle and 2) improve coordination between stakeholders throughout the design and construction stages. With this hands-on course, students will learn how to integrate all models of a project to visualize construction processes and better predict, manage, and communicate project outcomes. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
215,CE,4991,Civil Engineering Design and Practice,"This course will broaden a student's exposure to professional practice issues, including project planning and management, financial and contractual relationships. The major focus of the course will be providing practical civil engineering design experience. Students will participate in one or more multi-disciplinary team design projects requiring integration of technical skills from sub-areas of Civil Engineering. Prerequisite: 4th yr standing as CE major window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
216,CE,6000,Forefronts of Civil Engineering,"This course is an introduction to major challenges facing civil engineering infrastructures and emerging solutions to these challenges. Innovative technologies and techniques will be presented. Topics will vary but may include sustainability, sensor technology, infrastructure security, and resiliency and design for natural disasters. Prerequisite: Graduate Standing or Instructor Permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
217,CE,3030,Land Development Engineering,"Basic concepts of mechanics: systems of forces and couples: equilibrium of particles and rigid bodies; analysis of structures: trusses, frames, machines; internal forces, shear and bending moment diagrams; distributed forces; friction, centroids and moments of inertia; principle of virtual work; and computer applications. Cross-listed as MAE 2300. Prerequisite: PHYS 1425 or PHYS 1420 or PHYS 1710. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
218,CE,4015,Construction Industry Workshop: Bringing Theory to Practice,"Students will be introduced to current civil engineering challenges and emerging solutions. Research and practical case studies will be included. Participants will summarize and explore implications of introduced topics. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
219,CE,6035,Leadership and Negotiation,"This course provides students with fundamental knowledge of traffic operations including traffic data collection and analysis, safety and crash studies, traffic flow theory, highway capacity analysis, signalized intersection design and analysis, simulation modeling, and sustainable transportation system. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
220,CE,6555,Special Topics in Distance Learning,"Special Topics in Distance Learning window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
221,CE,6720,Continuum Mechanics,"Introduces continuum mechanics and mechanics of deformable solids. Vectors and cartesian tensors, stress, strain, deformation, equations of motion, constitutive laws, introduction to elasticity, thermal elasticity, viscoelasticity, plasticity, and fluids. Taught concurrently with APMA 6020, AM 6020, MAE 6020. Prerequisite: Instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
222,CE,3050,Introduction to Green Engineering,"Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topics for each semester are announced at the time of course enrollment. Check with the course instructor regarding any prerequisites. Prerequisite: Instructor's Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
223,CE,5240,Ground-Water Hydrology and Contaminant Transport,"An introduction to ground-water hydrology and contaminant transport. Topics include Darcy's Law, fluid potential, hydraulic conductivity, the unsaturated zone, the 3-D equation of ground-water flow, well hydraulics and pump tests, including the principle of superposition, the advection-dispersion-reaction equation, pollutant fate and transport processes, and numerical simulation of ground-water. Prerequisites: CE 2210, CE 3200 or equivalent. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
224,CE,6450,Transportation Safety Engineering,"Study of the dynamic behavior of such structures as beams, rigid frames, floors, bridges, and multi-story buildings under the action of various disturbing forces such as wind, blasts, earthquakes, vehicles, machinery, etc.; dynamic modeling of single, multidegree of freedom, and continuous systems; damping; numerical integration; Prerequisite: Concrete and metal structure design. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
225,CE,5000,Management Large-Scale Construction Projects,"Study of a civil engineering problem in depth by each student using library, computer, or laboratory facilities. The project is conducted in close consultation with departmental faculty and involves survey, analysis, or project development. Progress reports and a comprehensive written report are required. May be repeated if necessary. Prerequisite: Contact individual professor for Instructor Permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
226,CE,6030,Green Engineering and Sustainability,"Introduces engineering problem solving using geographic information systems (GIS). GIS has proven to be an effective tool in civil engineering applications that incluce a significant spatial component. The course addresses basic GIS concepts, and includes hands-on exercises using GIS software. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
227,CE,2100,Introduction to Environmental Engineering,"This purpose of this course is to introduce and familiarize students with engineering economics. Students will apply the concepts of the time value of money to infrastructure management. Students will be able to compare cash flows using net present value, future value, and cost-benefit analysis. Students will use cost indices to complete cost estimations. Students will be able to make appropriate adjustments for depreciation and inflation. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
228,CE,7500,Special Topics in Civil Engineering,"Detailed study of special topics in civil engineering. Doctoral-level graduate students. Prerequisites: Instructor Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
229,CE,6500,Special Topics in Civil Engineering,"Detailed study of special topics in civil engineering. Master's-level graduate students. Prerequisites: to be listed for each section as needed window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
230,CE,3500,Special Topics in Civil Engineering,"Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topics for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
231,CE,5700,Foundations Engineering,"Foundation engineering is the application of soil mechanics in the design of foundation elements for structures. The course covers properties of soils; subsurface exploration; bearing capacity; design of shallow foundations and mats; earth pressure theories and applications to design of retaining structures; stability of slopes; and an introduction to deep foundations. Prerequisites: CE 3310, CE 3710. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
232,CE,6750,Mechanics of Composite Materials,"Detailed study of special topics in civil engineering. Master's-level graduate students. Prerequisites: to be listed for each section as needed window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
233,CE,4100,Water Chemistry,"Students will be introduced to current civil engineering challenges and emerging solutions. Research and practical case studies will be included. Participants will summarize and explore implications of introduced topics. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
234,CE,5310,Prestressed Concrete Design,"Introduces engineering problem solving using geographic information systems (GIS). GIS has proven to be an effective tool in civil engineering applications that incluce a significant spatial component. The course addresses basic GIS concepts, and includes hands-on exercises using GIS software. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
235,CE,6250,Environmental Systems Modeling & Management,"This course covers the basic principles of aquatic chemistry as applied to problems in natural and engineered waters. Four specific reaction types will be covered including 1) acid-base, 2) precipitation-dissolution, 3) complexation, and 4) oxidation-reduction. Problem solving skills will be developed using graphical and analytical techniques. Students will also develop computer simulation skills. Taught concurrently with CE 4100 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
