Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
50,Rachel Letteri,"Rachel A. Letteri | Rachel A. Letteri is an Associate Professor in the Department of Chemical Engineering.  After obtaining a B.S. in Chemical & Biomolecular Engineering from the University of Notre Dame, she completed a Ph.D. in Polymer Science & Engineering from the University of Massachusetts Amherst under the direction of Professors TODD EMRICK and RYAN HAYWARD.  She then conducted postdoctoral research in the laboratory of Professor KAREN WOOLEY in the Department of Chemistry at Texas A&M University from 2016-2018.  Her research interests include materials involving functional polymers, peptides, and interfacial assemblies with applications in medicine and engineering, among others.  Rachel also enjoys sharing science and engineering with others through education and outreach.","NSF CAREER Award 2022, included in the RSC Biomaterials Science Emerging Investigators Issue 2021, Thomas E. Hutchinson Award (Trigon Engineering Society) for outreach to students, enthusiastic lectures, obvious love of teaching, and contributions to the Engineering School 2019,"
51,Blair Okita,"Blair Okita | For the past 35+ years, Blair has been a pharmaceutical manufacturing, quality, and development executive where he has had the opportunity to work globally and drive twelve new chemical/biological and biosimilar products through development and into sustained commercial production. As President of BioPCS Consulting, LLC he provides clients with the knowledge and tools necessary to assure that the performance of their organizations and manufacturing processes are predictable and positioned for successful, sustainable operations. In the Fall of 2023, he served as the Brenton S. Halsey Distinguished Visiting Professor in the Department of Chemical Engineering, School of Engineering and Applied Science, at the University of Virginia. Prior to that, Blair was the SVP of Manufacturing Science, Strategy, and Technology and one of the original four employees of National Resilience Inc. While there, he helped build the organization to the current multi-site organization with over 1600 employees. He has also been the SVP and Head of Global Healthcare Quality at Merck KGAa, Darmstadt Germany with oversight of the Quality organizations at 17 plants and 54 subsidiaries with 1600 Quality Professionals. He spent 14 years at Genzyme Corporation in several different roles leading Technology Development, Global Therapeutics Manufacturing and Global Quality. Blair’s early career included responsibility for the Vaccine Technology group at Merck & Co., Inc as well as Head of the Bioreactor Scale-up group within Biological Process Sciences at SmithKline Beecham. Blair received his BA in Biology from Johns Hopkins University as well as an MS and Ph.D. in Chemical Engineering from the University of Virginia. He, his wife Debbie, and his dog Mia currently live in Charlottesville.",
52,Chris Paolucci,Chris Paolucci | Chris is an Assistant Professor in the Department of Chemical Engineering.  He completed his B.S. and Ph.D in Chemical Engineering at the University of Notre Dame.,"Eli J. and Helen Shaheen Graduate School Award 2017, Gordon Research Conference in Catalysis First Place Poster Award 2016, AIChE Computational Molecular Science and Engineering Forum Graduate Student Award 2015, Chemical Reaction Engineering AIChE Travel Award 2015, University of Notre Dame Center for Research Computing Award 2015, Kokes Travel Award for the 24th North American Catalysis Society Meeting 2015, The Patrick and Jana Eilers Graduate Student Fellowship for Energy Related Research 2015,"
53,George Prpich,"George Prpich | B.Sc. Chemical Engineering, University of Saskatchewan, 2000",
54,Lakeshia Taite,"Lakeshia J. Taite | Lakeshia Taite designs biomaterials to create cell-instructive microenvironments that encourage tissue growth or regeneration. By tuning the properties of synthetic polymers, naturally derived polymers and hybrid materials combining both, Professor Taite can engineer biofunctional materials capable of supporting cellular processes leading to novel tissue growth, tissue regeneration or the treatment of disease.",","
55,Phillip Taylor,"Phillip Taylor | Phillip A. Taylor is an Assistant Professor in the Department of Chemical Engineering. After obtaining his B.S.E. and M.S.E. in Chemical & Biomolecular Engineering from the University of Pennsylvania, he completed a Ph.D. in Chemical & Biomolecular Engineering at the University of Delaware under the direction of Professors Arthi Jayaraman and April M. Kloxin. He then conducted his postdoctoral research at the Center for Integrated Nanotechnologies (CINT) at Sandia National Laboratories, where he worked with Drs. Gary Grest and Mark Stevens. Prof. Taylor’s research interests include computational materials science, polymer physics, biomaterials, and peptide self-assembly.","UVA Rising Scholars Postdoctoral Fellowship 2022, Chemical Engineering Department Teaching Fellowship: University of Delaware 2022, AIChE 8B Biomaterials First Place Graduate Student Talk Award 2021, Best Talk Prize: Virtual MRS Spring Meeting, Peptide and Protein Design for Responsive Materials 2021, Graduate Coursework Commendation: University of Delaware 2019, NIH Chemistry-Biology Interface Training Fellowship 2017, Robert L. Pigford Fellowship: University of Delaware 2017,"
56,Ronald Unnerstall,"Ronald J. Unnerstall | Ron Unnerstall retired from BP in 2017 following a varied career in the Oil and Gas Industry spanning over 34 years. His career was predominately in Refining and Marketing, including 24 years in oil refineries across four locations, and other executive assignments in Chicago, London and Shanghai.",
57,Nick Vecchiarello,"Nick Vecchiarello | Nick Vecchiarello received his B.S. is Chemical Engineering from the University of Massachusetts Amherst and his Ph.D. in Chemical and Biological Engineering at Rensselaer Polytechnic Institute. He then worked as a late-stage purification scientist at Amgen in Cambridge Massachusetts before beginning a position as a postdoctoral researcher in the Chemistry department at MIT. Nick has joined the Chemical Engineering faculty at the University of Virginia and will begin his appointment in January 2023. Chemically modified surfaces offer exciting opportunities to develop materials with tunable molecular interactions or stimuli-responsive behaviors. These desirable surface properties are important in a range of application spaces including biomanufacturing, precision medicine, and analytical chemistry. The Vecchiarello Lab studies interfacial adsorption phenomena to design novel peptidefunctionalized materials with desired properties. Our lab works at the intersection of academia and industry to create new bioseparation materials and nanoparticle-based drug delivery vehicles to solve pressing, real-world problems. We are excited to develop strategies for discovering functionalized surfaces from large synthetic peptide libraries and to a gain fundamental understanding of adsorption processes on these surfaces using biophysical characterization techniques.",
58,Huiyuan Zhu,Huiyuan Zhu | The Zhu Group's research aims to develop new synthetic strategies for well-defined nanocrystals and 2-dimensional (2D) materials with atomically precise surfaces and interfaces that can lead to a fundamental understanding of how atomic structure affects catalyst performance and to use this new knowledge to design optimized catalysts for critical energy conversion and chemical transformation processes. Research will focus specifically on:,
59,Negin Alemazkoor,Negin Alemazkoor | The overarching objective of my research is to develop sensing and computing methodologies for fast and reliable analysis of smart and interconnected infrastructure systems under uncertainty. My research is inherently multi-disciplinary and aims to advance reliability and resilience of infrastructure systems by facilitating fast and accurate system analysis that leads to optimal system operation and management.,
60,Somayeh Asadi,"Somayeh Asadi | Somayeh Asadi is currently a Professor in the Department of Civil and Environmental Engineering at the University of Virginia. Prior to joining UVA, she was an Associate Professor with the Department of Architectural Engineering at Pennsylvania State University. She received M.Sc. and Ph.D. degrees in engineering science with an emphasis on construction engineering from Louisiana State University, Baton Rouge, LA, USA. She leads a dynamic and diverse research team to transform smart infrastructure systems through research and education. Her research group's work focuses on smart buildings and cities, Occupant behavior and health, net-zero carbon built environment, resilient and adaptive built environment, food–energy–water-society nexus, machine learning, and artificial intelligence. Beyond her research, Dr. Asadi is truly committed to education and mentorship, fostering the intellectual development of both undergraduate and graduate students. She is the past chair of the ASCE Global Computing Committee. She also served as the advisor of the National Electrical Contractor Association (NECA) student chapter for 8 years.",
61,Larry Band,"Larry Band | I am an eco-hydrologist with research spanning the continuum of natural through urban watersheds. A goal is to develop and incorporate principles learned in unmanaged ecosystems as part of urban ecosystem restoration. I have a major interest in the role of forests and tree canopy on flooding and drought, the provision of high-quality freshwater, coupled water, carbon and nitrogen cycling, and vulnerability to climate and land use change. My current urban environmental research has an emphasis on the design, analysis and simulation of green infrastructure on urban ecosystems and human well being, and the development of computational tools to facilitate collaborative and participatory research, management and design for watershed restoration.","Clark Hall 207 291 McCormick Rd 2017, Fellow, Geological Society of America 2014, Birdsall-Dreiss Lecturer, Geological Society of America 2014,"
62,T. Chen,"T. Donna Chen | Dr. Chen joined the Department of Civil and Environmental Engineering at the University of Virginia in August 2015. Her research focuses on sustainable transportation systems (in particular modeling the impacts of new vehicle technologies systems on traveler behavior and the environment), travel demand modeling, transportation economics, and crash safety. Prior to joining academia, Dr. Chen worked in the consulting industry as a transportation planning engineer and has experience with roadway design, cost estimation, and traffic operation analyses.","American Society of Civil Engineers Excellence in Civil Engineering Education (ExCEEd) Fellow 2017, National Science Foundation IGERT Fellow 2013-2015, Federal Highway Administration Eisenhower Transportation Fellow 2012-2013,"
63,Andrés Clarens,"Andrés F. Clarens | Andrés Clarens is a Professor in the Department of Civil and Environmental Engineering at the University of Virginia and Associate Director of the UVA Environmental Institute. His research is focused broadly on understanding anthropogenic carbon flows and the ways that CO2 is manipulated, reused, and sequestered in engineered systems. The results of his work are important for developing efficient strategies for mitigating the emissions that are driving climate change. At the largest scales, his system-level modeling work has explored the life cycle of systems in the manufacturing, transportation, and energy sectors. In the laboratory, he is pursuing complementary research in the phase behavior and surface chemistry of carbon dioxide mixtures at high pressure.","Earth Leaders Program - Fellow 2022-2023, United States Fulbright Fellow – National Technical University of Argentina 2016, National Academies of Science, Arab American Frontiers of Science, Engineering and Medicine - Participant 2014, National Science Foundation CAREER Award 2013-2018, Department Teaching Award – UVa Civil and Environmental Engineering 2013, American Chemical Society Petroleum Research Fund Young Investigator Award 2010-2012, Fund for Excellence in Science and Technology – UVa Vice President for Research Office Junior Faculty Award (w/ L. Colosi) 2010-2011,"
64,Teresa Culver,"Teresa B. Culver | My lifelong love for the outdoors translated directly into the study of environmental and water resource engineering. At UVa, I have the honor of working with a new generation of engineers who will work to create a sustainable future. In addition to developing technical abilities, I encourage students to consider current environmental challenges and to develop effective collaborative skills.","Margaret S. Peterson Award, American Society of Civil Engineers 2020, Service to the Institute Award, Environmental Water Resources Institute, ASCE 2002, Walter L. Huber Research Prize, American Society of Civil Engineers 2002, National Science Foundation CAREER Award 1995-1999, Civil Engineering Teaching Award, School of Engineering and Applied Science, University of Virginia 2005, Lilly Teaching Fellow 1994-1995,"
65,Nicole Dufalla,"Nicole Dufalla | Nicole Dufalla is a Lecturer in the First Year Engineering Center with a joint appointment in the Department of Civil and Environmental Engineering. Her educational background is in civil engineering, with a focus in pavement structure and materials and she received her B.S. in Civil Engineering from Cornell University and her M.S. in Civil Engineering from the University of Pittsburgh. She currently serves as the chair of the Transportation Research Board Standing Committee on the Properties of Concrete.",
66,Diana Duran,Diana Franco Duran | Dr. Diana Franco Duran is an Assistant Professor in the Department of Civil and Environmental Engineering and serves as the Director of the Civil Engineering Undergraduate Program and Civil Engineering Minor. She also manages the Construction Engineering and Management (CEM) concentration and oversees the Construction Industry Consortium.,"UVA SoTL Scholar 2021–2022, Outstanding Reviewer. Journal of Civil Engineering Education – ASCE 2021,"
67,Jose Gomez,"Jose Pantaleon Gomez III | I was most recently the Director of Research for the Virginia Transportation Research Council, the Virginia Department of Transportation’s research division. I first joined the Research Council in June of 1992 as a Research Scientist and spent 9 years conducting applied research and technical consultation in the areas of bridge engineering; focusing on field testing, computer modeling, the use of advanced structural materials in bridge design, and bridge management. I served the next 9 years as Associate Director of Research, managing the Structures, Pavements, and Geotechnical Research Team. I was named Director of Research in April, 2011, retiring in August 2016. Highlights of my career at VTRC include Principal or co-Principal Investigator on 16 external grants totaling over $5.4 million in research and implementation funds, author or co-author of 42 research reports, and co-PI to Rutgers University, the lead agency in the initial FHWA Long-Term Bridge Performance Program Grant. This grant total was $25 million, of which $5 million came to VTRC in support of the bridge research program. I am currently a Lecturer in the Civil and Environmental Engineering Program. I have a BS in Civil Engineering from VMI and Masters’ and Doctorate in Civil Engineering from U.Va. I am a Licensed Professional Engineer in the Commonwealth of Virginia.","Commonwealth of Virginia Graduate Engineering Program Instructor of the Year. 2004, Civil Engineering Teaching Award. 2015,"
68,Jonathan Goodall,"Jonathan L. Goodall | Jon Goodall is a Professor in the Department of Civil and Environmental Engineering at the University of Virginia (UVA) and Director of the UVA Engineering Link Lab. He is a water resources engineer working to advance the field of hydroinformatics where data and computational sciences are used to improve the understanding, forecasting, and management of water systems. In his research, he is working with students in the Hydroinformatics Research Group to adapt techniques from artificial intelligence, machine learning, and cyber-physical systems for real-time flood mitigation and improved flood resiliency. Goodall is a registered Professional Engineer, a Fellow of the American Society of Civil Engineers, and an elected member of the Virginia Academy of Science, Engineering, and Medicine. He was awarded a CAREER Award from the National Science Foundation and an Early Career Award from the International Environmental Modelling & Software Society. Goodall earned his Ph.D. and M.S.E. in Civil Engineering from the University of Texas at Austin and his B.S. in Civil Engineering from the University of Virginia.","Elected Member, Virginia Academy of Science, Engineering, and Medicine 2021, Fellow, American Society of Civil Engineering 2018, Early Career Research Excellence Award, International Environmental Modelling & Software Society (iEMSs) 2012, CAREER Award, National Science Foundation 2009,"
69,Devin Harris,"Devin K. Harris | Professor Harris is chair of the Department of Civil and Environmental Engineering at the University of Virginia. His research and teaching interests focus on large scale infrastructure systems with a primary focus on condition monitoring and system performance. His research leverages image-based measurement techniques, simulation, visualization, and data analytics with applications in the areas of structural health monitoring, smart cities, and digital twins. Additional areas of focus include reinforced and prestressed concrete behavior, applications of innovative materials in civil infrastructure, and non-destructive evaluation. Dr. Harris’ research approach often utilizes a combination of laboratory and/or field investigations coupled with simulations.","Delmar L. Bloem Distinguished Service Award 2021, IAspire Leadership Academy Fellow 2020–2022, Outstanding Reviewer - American Society of Civil Engineering - Journal of Bridge Engineering 2013, Excellence in Diversity Fellowship - University of Virginia Teaching Resource Center 2012–2013, ACI Young Member Award for Professional Achievement - American Concrete Institute 2011,"
70,Arsalan Heydarian,"Arsalan Heydarian | Arsalan Heydarian is an Associate Professor in the Department of Civil and Environmental Engineering as well as the UVA Link Lab. His research focuses on the user-centered design, construction, and operation of intelligent infrastructure, aiming to enhance sustainability, adaptability, and resilience. His work is organized into four primary research streams: (1) intelligent built environments, (2) mobility and infrastructure design, (3) smart transportation, and (4) data-driven mixed reality. Dr. Heydarian holds a Ph.D. in Civil Engineering and an M.Sc. in Systems Engineering from the University of Southern California (USC), along with B.Sc. and M.Sc. degrees in Civil Engineering from Virginia Tech. He is also a co-founder of the Omni Reality and Cognition Lab (ORCL Lab), a cutting-edge facility that utilizes virtual and augmented reality technologies to study human behavior and responses to various infrastructure designs.",
71,Lindsay Burden,"Lindsay Ivey Burden | Dr. Ivey Burden joined the Department of Civil and Environmental Engineering at the University of Virginia in January 2012. Her research and teaching interests include geotechnical engineering, foundations engineering, solid waste management, risk analysis in infrastructure systems, geotechnical earthquake engineering, and geophysical testing techniques. Dr. Ivey Burden’s research methods vary widely, ranging from theoretical systems modeling to a combination of laboratory and field investigations.","Civil Engineering Teaching Award 2014, Thomas E. Hutchinson Award 2016,"
72,Leidy Klotz,"Leidy Klotz | Leidy Klotz studies and writes about design and problem-solving. He has published two books (with a third in press), over 80 peer-reviewed articles in scientific journals including Nature and Science, and numerous articles in publications such as The Washington Post, Harvard Business Review, Fast Company, and Scientific American.","Best Paper Award, Society of Judgement and Decision Making 2024, Research Award, University of Virginia 2021, Professors Who Inspire, Nerdscholar 2014, CAREER Award, National Science Foundation 2011,"
73,Venkataraman Lakshmi,Venkataraman Lakshmi | Venkat graduated from University of Roorkee in 1987 with a Bachelor degree in Civil Engineering and a Doctorate in Civil and Environmental Engineering in 1996 from Princeton. He worked at NASA Goddard Space Flight Center 1996-1999 as a research scientist in the Laboratory for the Atmospheres.,"Fellow, Geological Society of America (GSA) 2020, Fellow, American Society of Civil Engineers (ASCE) 2018, Fellow, American Association for the Advancement of Science 2025, Fellow, American Society of Agronomy 2023, NASA Group Achievement Award for the AQUA Mission 2003, Cox Visiting Professor, Stanford University 2006-2007; 2015-2016, William Mong Visiting Research Fellowship, University of Hong Kong 2010, Mortar Board Award for Excellence in Teaching, University of South Carolina 2010, NASA Group Achievement Award for the SMAP Validation Experiment 2013, Outstanding Associate Editor, Vadose Zone Journal 2014, Carolina Trustee Professor, University of South Carolina 2016, Nanshan Distinguished Lecture on the Environment, Southern University of Science and Technology 2017, Last Lecture, University of South Carolina, South Carolina Honors College 2018, Senior Member, Institute of Electrical and Electronic Engineers 2002, Full Member, Sigma Xi Research Honor Society 2021, Professional Engineer (PE), State of Maryland, Registration # 25394 2002,"
74,James Lambert,James H. Lambert | Dr. Lambert received the 2025 Aspen Institute Italia Award for scientific research and collaboration.,"Distinguished Educator Award, Society for Risk Analysis 2024, Best Paper Award iCSEng--30th International Conference on Systems Engineering 2023, Election to Fellow, AAAS 2020, Distinguished Researcher Award, Office of the Vice President for Research, University of Virginia 2019, Election to Fellow, IEEE 2017, R.A. Glenn Best Paper Award, American Chemical Society 2016, Outstanding Reviewer, Elsevier journal Reliability Engineering & System Safety 2015, INFORMS Graduate Faculty Award of Excellence, UVa Chapter of the Institute for Operations Research and Management Science, University of Virginia, USA 2015, Election to Fellow, American Society of Civil Engineers 2013, Fellowship, National Science Foundation, Pan-American Advanced Studies Institute (PASI) on Modeling, Simulation and Optimization of Globalized Physical Distribution Systems. August 5-17, 2013. 2013, Best Reviewer Award, Wiley journal Risk Analysis. Annual Meeting of the Society for Risk Analysis, San Francisco, CA. 2012, Election to Fellow, Society for Risk Analysis 2011, Honorable Mention, Education and Outreach Sustainability Award, Society of American Military Engineers (SAME). 2011, Board Certified BC.WRE, American Academy of Water Resources Engineers 2006, Commendation, Commonwealth of Virginia Secretary of Transportation, for contributions to VTrans 2025, the Statewide Multimodal Long-Range Transportation Plan. 2005, Election to Sigma Xi scientific research honor society. 2001, National Science Foundation Travel Award, NATO Advanced Study Institute on Engineering Risk and Reliability in a Changing Physical Environment in Deauville, France. 1993, Election to Tau Beta Pi engineering honor society 1992,"
75,Zhen Liu,"Zhen (Leo) Liu | Professor Liu’s research interests include soil mechanics, foundation engineering, Artificial Intelligence (AI), numerical simulations, and other topics in classical mechanics. His research interests are integrated for being more collaborative (multiphysics), more focused (multiscale), and more intelligent (AI). The scope covers both traditional geotechnical applications, such as unsaturated soil mechanics, geohazards, energy geotechnics and advanced geomaterials, and more interdisciplinary innovations, such as intelligent geosystems (for smart cities and cyber-physical systems), system resilience improvements, and “big data” solutions for intelligent geosystems and transportation systems. His research has many direct applications in infrastructure safety, energy resources, environment protection, and advanced materials.",
76,Osman Ozbulut,"Osman E. Ozbulut | Osman Ozbulut is a Professor in the Department of Civil and Environmental Engineering at the University of Virginia. His research focuses on applying innovative materials, sensing technologies and interdisciplinary expertise to the development of resilient and sustainable civil infrastructure systems. He is particularly interested in: (i) development of innovative structural systems and design strategies to enhance the performance and safety of structures; (ii) application of advanced materials for disaster resistant design of structures as well as repair and retrofit of deficient and aging civil infrastructure; and (iii) development and application of novel structural health monitoring techniques for civil infrastructure systems.","Advanced Panel Fellow, NSF CMMI’s Game Changer Academy 2022, International Young Scientist Fellowship, National Natural Science Foundation of China (NSFC) 2016, Post-doctoral Research Fellowship, Texas Transportation Institute 2011,"
77,B. Park,"B. Brian Park | Brian Park is a Professor in the Department of Civil and Environmental Engineering and the Department of Systems and Information Engineering at the University of Virginia. Prior to joining the University of Virginia, he was a Research Fellow at the National Institute of Statistical Sciences and a Post-Doctoral Research Associate at North Carolina State University. Dr. Park received the B.S. and the M.S. from the Hanyang University, Seoul, Korea, and the Ph.D. from the Texas A&M University.","The 2014 George N. Saridis Best Transactions Paper Award for Outstanding Research (Published in IEEE T-ITS) 2020, PTV Group Best Paper Award 2016, 2012 and 2008, ASCE Outstanding Reviewer 2010, American Society of Civil Engineers’ Excellence in Civil Engineering Education (ExCEEd) Teaching Fellow 2004, Jack H. Dillard Outstanding Paper Award, Virginia Transportation Research Council 2004, Council of University Transportation Centers C.V. Wootan Award in the Recognition of Outstanding Ph.D. Dissertation 1999,"
78,Lisa Peterson,"Lisa Colosi Peterson | Lisa leads the UVA LCA Lab, which applies systems-based approaches to evaluating new technologies and policies meant to deliver clean water, low-carbon energy, climate change mitigation, and/or other environmental benefits. Her group conducts life cycle assessment (LCA), techno-economic analysis (TEA), and related systems analyses. She has produced more than 60 peer-reviewed publications (h-index = 30). Active research grants include awards from the US National Science Foundation, US Department of Energy (EERE), US Department of Transportation, and others. She serves on UVA's Faculty Senate and its Committee on Sustainability. She is also CEE's Associate Chair for Research and Strategy. She has directed three GAANN doctoral traineeship programs from the US Department of Education. She holds an MS and PhD in Environmental Engineering from the University of Michigan and a BS in Biological Engineering from Cornell University.",
79,Julianne Quinn,"Julianne Quinn | As a longtime math geek and nature lover, I was excited to learn I could make a career as an environmental systems engineer, applying concepts of mathematics to improve the management of environmental systems. My research specifically focuses on advancing optimization and simulation methods used to inform the design and management of water resources systems with the goals of protecting people from nature (floods and droughts), and nature from people (pollution and consumption). I view this as an iterative process beginning with risk and uncertainty analysis to discover which sectors and populations are most vulnerable to natural and anthropogenic hazards, followed by multi-objective optimization of the system to reduce these multi-sectoral vulnerabilities. I am particularly interested in how advanced sensing and forecasting techniques can be used to inform this optimization.","Best Policy Oriented Paper Award, Journal of Water Resources Planning and Management, 2024, UVA Civil Engineering Teaching Award, 2021, UVA Graduate Engineering Student Council Advisor of the Year, 2021, First Place, Universities Council on Water Resources (UCOWR) Ph.D. Dissertation Award in Natural Science and Engineering, 2017,"
80,Majid Shafiee-Jood,"Majid Shafiee-Jood | Majid Shafiee-Jood is a Research Assistant Professor in the Department of Civil and Environmental Engineering at the University of Virginia, where he also serves as the Director of Graduate Studies. Shafiee-Jood conducts interdisciplinary research at the intersection of climate risk management, water management, decision making, and policy.",","
81,James Smith,"James A. Smith | James A. Smith is an environmental engineer holding the Henry L. Kinnier Chair of Civil Engineering in the Department of Civil and Environmental Engineering at the University of Virginia. He received his B.S. and M.S. degrees in Civil Engineering from Virginia Tech in 1983 and 1984, respectively. He received his Ph.D. in Civil Engineering from Princeton University in 1992.","Member of the Virginia Academy of Science, Engineering, and Medicine 2022, Wesley W. Horner Award for best paper of the year in an ASCE Water Journal 2020, Fulbright Research Fellow 2017, Edlich-Henderson Innovator of the Year Award 2015, Diplomate, American Academy of Water Resources, Fellow, American Society of Civil Engineers, Rotary International Paul Harris Fellow 2014, Elected by Eminence to the American Academy of Environmental Engineers 2009, Founder and Chairman of the Board of PureMadi 2012—present, Rudolph Hering Medal from the American Society of Civil Engineers 2011, Jack H. Dillard Best Paper Award, Virginia Transportation Research Council 2004, 2006, and 2008, Civil Engineering Teaching Award 2006, William R. Kenan Visiting Associate Professor for Distinguished Teaching, Princeton University 2004—05, Association of Environmental Engineering and Science Professors (AEESP) Award for Outstanding Teaching in Environmental Engineering and Science 2002, University of Virginia Cavaliers’ Distinguished Teaching Professor 2000—02, UPS Foundation Visiting Professor of Environmental Engineering, Stanford University 1998—99, University of Virginia Alumni Board of Trustees Teaching Award 1997, U.S. Geological Survey Outstanding Performance Award 1992, 1988, 1986, 2004-05,"
82,Brian Smith,"Brian L. Smith | Brian L. Smith, PE is a leader in advanced technology in surface transportation systems. His research has contributed to innovations such as mobile phone navigation systems and urban freeway management that has led to revolutionary improvements in travel experience. His primary research interests are in transportation systems engineering, focusing on sustainability, connected and automated vehicle systems, and advanced transportation management. Dr. Smith has published transportation-related research in the areas of cooperative systems, probe-based traffic monitoring, statistical modeling, traffic flow theory, data mining, geographic information systems (GIS), and artificial intelligence. He regularly provides advice and guidance to transportation leaders at the state and national levels, as well as in industry. Dr. Smith has taught courses on transportation engineering, civil engineering design, systems engineering, geographic information systems, and construction engineering.","Fellow American Society of Civil Engineers,"
83,Mami Taniuchi,"Mami Taniuchi | Dr. Taniuchi received her PhD in Biomedical Engineering from the University of Virginia. She works with Eric Houpt, MD, and William Petri, Jr., MD, in developing molecular diagnostic assays to detect enteric pathogens that cause diarrhea and malnutrition. Her focus is to develop assays on platforms that can be used in low resource settings such as Bangladesh, Pakistan, Tanzania, and Thailand to study etiology of diarrhea and vaccine efficacy.",
84,Rob Tieman,"Rob Tieman | I serve as Professor of Practice at the University of Virginia and the Virginia Transportation Research Council to strengthen and build our impact in state and national transportation conversations and initiatives. Additionally, I strive to advance transportation project management knowledge sharing through AASHTO, speaking engagements, and writing. Previously I worked in consulting and government, most recently as the Director of VDOT's Project Management Office responsible for providing technical and project management expertise and support for all preliminary engineering projects in VDOT's Six-Year Improvement Plan.",
85,Homa Alemzadeh,"Homa Alemzadeh | Homa Alemzadeh is an Associate Professor in the Department of Electrical and Computer Engineering and Computer Science (by courtesy) at the University of Virginia. She is also affiliated with the UVA Link Lab, a multi-disciplinary center for research and education in Cyber-Physical Systems (CPS). Before joining UVA, she was a Research Staff Member at the IBM T. J. Watson Research Center. She received her Ph.D. in Electrical and Computer Engineering from the University of Illinois at Urbana-Champaign and her B.Sc. and M.Sc. in Computer Engineering from the University of Tehran. She is the recipient of the 2022 CAREER Award from the National Science Foundation and 2017 William C. Carter Ph.D. Dissertation Award in Dependability from the IEEE TC and IFIP Working Group 10.4 on Dependable Computing and Fault Tolerance.","NSF Faculty Early Career Development (CAREER) 2022, William C. Carter Dissertation Award in Dependability 2017, J. Maxwell Chamberlain Memorial Paper Award, Society of Thoracic Surgeons (STS) 2014,"
86,Panagiotis Apostolellis,"Panagiotis Apostolellis | Panagiotis Apostolellis is a full-time Associate Professor in the Computer Science Department at the University of Virginia. He received his PhD in Computer Science & Applications from Virginia Tech in 2017. He also holds a MSc in Computer Science from Virginia Tech and an MSc in Human-Centered Systems from the University of Sussex (UK). Additionally, Panagiotis has a Graduate Certificate in Human-Computer Interaction from Virginia Tech (2015). While a graduate student at Virginia Tech (2011-2017), he worked at the Center for Human-Computer Interaction under the guidance of Dr. Doug Bowman, researching the impact of audience interaction using serious games and VR on young student audiences visiting informal learning spaces. His teaching experience involves being an Adjunct faculty member and a Visiting Assistant Professor at Virginia Tech, serving as a Teaching Assistant in multiple CS courses, and teaching diverse audiences about IT and New Media Technologies. His dissertation received the Outstanding Research award for 2017-2018 from the CS department at Virginia Tech. Panagiotis has also extensive experience as a Senior Interactive Systems Designer and Developer at a cultural institution in his home country, Greece (2000-2011).","Education Innovation Award, School of Engineering and Applied Sciences 2020, 2022,"
87,Christopher Barrett,"Christopher L. Barrett | Christopher L. Barrett is the inaugural Distinguished Professor in Biocomplexity, Executive Director of the Biocomplexity Institute, and Professor in the Department of Computer Science at the University of Virginia. He is an interdisciplinary computational scientist who has published more than 100 research articles exploring all aspects of large multi-scale interaction systems. During the past 35 years, Barrett has conceived, founded, and led large interdisciplinary complex systems research projects and organizations, established national and international technology programs, and co-founded organizations for federal agencies such as the Department of Defense, the Department of Energy and the Department of Homeland Security.","Virginia Academy of Science, Engineering, and Medicine 2021, Endowed Distinguished Professor of Biocomplexity, University of Virginia 2019, Jubilee Distinguished Professor of Computer Science at Chalmers University, Göteborg, Sweden 2012–2013, Distinguished Achievement Award, Los Alamos National Laboratory 1995, Meritorious Service Medal (U.S. Navy) for research and development in automated assisted reasoning systems for naval aircraft 1988,"
