paperID,paper_summary
199,"Locomotion with flexible propulsors: I. Experimental analysis of pectoral fin swimming in sunfish; This paper summarizes a comprehensive research program aimed at understanding flexible propulsor locomotion by integrating 3D kinematics, material properties, power input, and fluid dynamics into a computational framework using the bluegill sunfish's pectoral fin as a model system."
200,"Computational analysis of fish-foil pairing and wake energy extraction in low-speed flow; By accurately replicating a fish-foil system with computational fluid dynamics, this study demonstrates that a trout's hydrodynamic power expenditure is reduced by 11.4% when swimming in the foil's wake due to beneficial vortex interactions."
201,Fin-Fin Interactions and the Impact on Performance of an Underwater Tuna-Like Robot; This paper presents a parametric study using an immersed boundary flow solver to examine the effects of various median fin arrangements on the hydrodynamic performance of a model tuna robot to optimize fin location and size.
202,"Data-Driven Optimization of Fish Schooling Formations for Enhanced Propulsive Efficiency; This paper describes an optimization model that uses a Kriging-guided Genetic Algorithm coupled with a computational fluid dynamics solver to maximize the group efficiency of a 2D fish school, overcoming the non-convex nature of the problem."
203,Hydrodynamic Interactions Between Schooling Fish in a Three-Dimensional Non-Planar Cluster; This study analyzes the hydrodynamic interactions in two frontal triangular fish school formations by varying the undulation phase difference between nearest lateral neighbors to understand the impact on propulsive performance.
204,"Hydrodynamic Impacts of Body Shape on Propulsion Efficiency in Underwater Robot Design; This research parametrically studies the effects of three-dimensional fish body shape on hydrodynamic drag, thrust, and efficiency in a carangiform swimmer by developing a novel method for generating and modifying fish-like body shapes."
205,"Capacitive biopotential measurement for electrophysiological signal acquisition: A review; This paper systematically reviews recent progress in capacitive biopotential measurement, from electrode design to system architecture, to provide comprehensive and practical instructions for entire system design and identify future improvements."
206,"An innovative nonintrusive driver assistance system for vital signal monitoring; This paper describes a nonintrusive in-vehicle biopotential measurement system that remotely detects ECG, EEG, and eye blinking without physical contact to monitor driver health and detect fatigue, validated on a high-fidelity driving simulator."
207,"A fiber Bragg grating sensor for radial artery pulse waveform measurement; This paper reports the design and experimental validation of a novel, high-sensitivity optical sensor based on a fiber Bragg grating and lever amplification for multi-location radial artery pulse waveform measurement."
208,"Critical insights for advanced bridge scour detection using the natural frequency; This paper investigates three critical, unsolved issues in vibration-based bridge scour detection—the physical meaning of the natural frequency, sensor location, and scour hole shape—to improve the practical implementation of this monitoring concept."
209,"Non-contact sensing of physiological signals; This document describes the background for a system to combat driver fatigue, a leading cause of traffic accidents, by outlining the limitations of subjective self-assessment and the need for objective measurement methods."
210,"Building Occupancy Detection Using Thermal Imaging based Edge Computing; This paper presents an edge computing thermal imaging system using a lightweight convolutional neural network to precisely detect and count people in real-time, addressing the challenges of accuracy and motion requirements in occupancy detection for building energy efficiency."
211,"Distributed Sensing Enabled Embodied Intelligence for Soft Finger Manipulation; This study proposes and validates a theoretical framework for distributed sensing-enabled embodied intelligence, demonstrating through simulation and experiment that a finite number of properly placed sensors can accurately predict the tip trajectory of a soft finger."
212,"Numerical Analysis of the Aerodynamic Interactions in Tandem Flying Snake Airfoils; This study uses numerical simulations to investigate the aerodynamic interactions between tandem flying snake airfoils, revealing that aligning the downstream foil with the upstream one significantly increases the lift-to-drag ratio through a beneficial vortex-wedge interaction."
213,"NeuroFlex: Feasibility of EEG-Based Motor Imagery Control of a Soft Glove for Hand Rehabilitation; This study introduces NeuroFlex, a motion-intent-controlled soft robotic glove that uses a transformer-based deep learning architecture to decode EEG signals for hand rehabilitation, achieving up to 85.3% accuracy in detecting movement intent."
214,Physics-guided deep learning enabled surrogate modeling for pneumatic soft robots; This study establishes a physics-guided deep learning computational framework that integrates first-principle physics into a deep learning structure to create highly accurate yet computationally affordable surrogate models for the real-time modeling and control of soft robots.
215,"Effect of peptide sequence on the LCST-like transition of elastin-like peptides and elastin-like peptide–collagen-like peptide conjugates: Simulations and experiments; This study explains how and why the choice of guest residue in the VPGXG pentad repeat tunes the thermoresponsive transition temperature of short elastin-like polypeptides, both in their free state and when conjugated to collagen-like peptides."
216,"Molecular modeling and simulations of peptide–polymer conjugates; This review focuses on past and ongoing molecular simulation studies aimed at obtaining a fundamental understanding of the structure, dynamics, and thermodynamic behavior of peptide-polymer conjugates for various biological and nonbiological applications."
217,"Placement of tyrosine residues as a design element for tuning the phase transition of elastin-peptide-containing conjugates: experiments and simulations; Using a combination of experiments and molecular dynamics simulations, this study illustrates that the substitution of phenylalanine with tyrosine guest residues and their specific placement impacts the transition temperature of short elastin-like polypeptides conjugated to collagen-like-peptides."
218,"Combining simulations and experiments for the molecular engineering of multifunctional collagen mimetic peptide-based materials; This study uses a synergistic experimental and simulation approach to examine how charged residue and reactive handle substitutions influence the thermal stability and assembly of collagen mimetic peptides, with coarse-grained simulations accurately predicting experimental melting transitions."
219,"Smoother surfaces enhance diffusion of nanorods in entangled polymer melts; Using coarse-grained molecular dynamics simulations, this study shows that the diffusion of thin nanorods in entangled polymer melts is not universal, but depends sensitively on nanorod surface roughness which drives an intermittent hopping process."
220,"Probing Nanorod Assembly and Dynamics in Polymer Nanocomposites in Equilibrium and Shear; This study uses coarse-grained molecular dynamics simulations to show that nanorods in polymer melts phase separate into a dilute phase and dense bundles, with this bundling enhanced by both longer polymer chains and the application of shear flow."
221,Disentangling the Effects of Polymer Matrix Chain Length and Processing Conditions on Nanorod Assembly in Polymer Nanocomposites
222,Biomaterials: Graduate Student Award Session (Invited Talks)
223,Impact of L-and D-Peptide Isomer Mixtures on Self-Assembly in Tissue Engineering: A Molecular Dynamics Study
224,Asymmetric crowders and membrane morphology at the nexus of intracellular trafficking and oncology; This perspective article explores how physical factors such as geometry and tissue mechanics regulate cell cortical tension to influence tumor exosome production by co-opting the biophysics and signaling dynamics of intracellular trafficking pathways.
225,"Chitosan-DNA nanoparticles as gene carriers: synthesis, characterization and transfection efficiency; This study investigates and optimizes the synthesis parameters for preparing chitosan-DNA nanoparticles via complex coacervation, resulting in 100–250 nm particles that can partially protect encapsulated plasmid DNA from nuclease degradation."
226,"Polysaccharide colloidal particles as delivery systems for macromolecules; This article reviews various approaches for creating chitosan-based colloidal carriers for macromolecules and analyzes the evidence of their efficacy in improving the transport of molecules like peptides, proteins, and DNA across biological surfaces."
227,Chitosan nanoparticles as delivery systems for doxorubicin; This paper evaluates the potential of chitosan nanoparticles as carriers for doxorubicin by demonstrating that masking the drug's positive charge with dextran sulfate can double its encapsulation efficiency and achieve significant drug loading.
228,A systems model of signaling identifies a molecular basis set for cytokine-induced apoptosis; This study constructed a large-scale systems model of intracellular signaling that accurately predicted time-dependent apoptotic responses to combined stimuli and revealed new molecular mechanisms by identifying two fundamental dimensions within the signaling network.
229,Low molecular weight chitosan nanoparticles as new carriers for nasal vaccine delivery in mice; This work investigates the potential of low molecular weight chitosan nanoparticles as long-term nasal vaccine delivery vehicles by entrapping tetanus toxoid and studying their interaction with the rat nasal mucosa and feasibility as vaccine carriers in mice.
230,"Systems Virology at Scale; This article summarizes recent advances in viral modeling and data science, illustrating how systems models are successfully traversing increasing time-length scales and levels of detail to complement public-health models and tackle bigger questions about virus-host interactions."
231,"Fast, flexible, learning-free organoid quantification and tracking with OrganoSeg2; This paper introduces OrganoSeg2, a highly customizable and accurate software for segmenting brightfield organoid images that surpasses its predecessor and AI-based competitors while adding new capabilities for longitudinal tracking and multicolor fluorescence quantification."
232,"Age-dependent topoisomerase I depletion alters recruitment of rDNA silencing complexes; This study identifies Topoisomerase I (Top1) as a novel age-depleted nuclear protein in yeast, finding that its overexpression is harmful to replicative lifespan by disrupting RENT complex stoichiometry and impairing ribosomal DNA silencing."
233,"Cahn-Hilliard dynamical models for condensed biomolecular systems; Using complementary numerical strategies, this work built stable Cahn-Hilliard equation solvers that simulate the complete time evolution of biomolecular condensates, yielding dynamics that closely mirror experimental observations of the chromosomal passenger complex."
234,"Ten simple rules for developing a training program; This article presents ten simple rules, drawn from the authors' experiences, to guide the development and implementation of successful, longer-term training programs for students and professionals in rapidly evolving fields like biomedical and health sciences."
235,"OWL: Cooperative Thread Array Aware Scheduling Techniques for Improving GPGPU Performance; This paper identifies that GPGPU warp scheduling policies are inefficient because they are agnostic to cooperative thread array behavior and proposes a coordinated, CTA-aware scheduling policy that utilizes four schemes to minimize the impact of long memory latencies."
236,"Cache Revive: Architecting Volatile STT-RAM Caches for Enhanced Performance in CMPs; By trading off data-retention-time to overcome high write latency, this paper formulates an optimal retention-time for architecting an efficient STT-RAM cache hierarchy that improves performance and energy consumption by 18% and 60% respectively, compared to SRAM designs."
237,"Neither More Nor Less: Optimizing Thread-level Parallelism for GPGPUs; This paper demonstrates that executing the maximum possible number of cooperative thread arrays on a GPGPU core is not always optimal for performance, as high concurrency can lead to increased cache misses and memory divergence."
238,"Scheduling techniques for GPU architectures with processing-in-memory capabilities; This paper investigates key code scheduling issues for GPU architectures with processing-in-memory capabilities, specifically how to automatically identify kernels to offload to memory and how to concurrently schedule dependent kernels to maximize performance and energy-efficiency."
239,"Orchestrated Scheduling and Prefetching for GPGPUs; This paper proposes a new prefetch-aware warp scheduling policy for GPGPUs that coordinates scheduling and prefetching decisions to better tolerate long memory latencies, overcoming the ineffectiveness of existing policies."
240,"NetCrafter: Tailoring Network Traffic for Non-Uniform Bandwidth Multi-GPU Systems; To address performance bottlenecks in hierarchical multi-GPU systems, this paper presents NetCrafter, a novel approach that manages network traffic by exploiting the observations that not all network bandwidth is fully utilized and not all requested data is necessary."
241,"TrioSim: A Lightweight Simulator for Large-Scale DNN Workloads on Multi-GPU Systems; This paper highlights the prohibitive cost of testing deep neural network training systems on physical multi-GPU hardware, motivating the need for better simulation and design tools for researchers to explore different configurations and designs for large GPU farms."
242,"Dissecting Performance Overheads of Confidential Computing on GPU-based Systems; This work presents a comprehensive performance evaluation of confidential computing in GPU-based systems, revealing that while some kernel execution times are unaffected, significant overheads arise from increased kernel launch times and page faults in kernels using unified virtual memory."
243,"Pushing the Performance Envelope of DNN-based Recommendation Systems Inference on GPUs; Through detailed microarchitectural characterization, this paper shows that the embedding stage continues to be the primary bottleneck in GPU-based deep learning recommendation model inference, leading to significant performance slowdowns."
244,"Aspis: Lightweight Neural Network Protection Against Soft Errors; This paper introduces Aspis, an efficient software protection scheme that provides a performance-reliability tradeoff for convolutional neural networks by using the Taylor criterion to pinpoint and selectively harden critical weights against soft errors in DRAM."
245,"Scenario-based resilience assessment framework for critical infrastructure systems: Case study for seismic resilience of seaports; This paper proposes a probabilistic framework for scenario-based resilience assessment of infrastructure systems, which accounts for uncertainties in the entire process from hazard intensity to repair, and applies it to a hypothetical seaport terminal."
246,"Development of a risk framework for forecasting earthquake losses in port systems; This paper presents a framework for the seismic risk management of a port-wide system that calculates losses by using spatially correlated ground motions to estimate damage to wharves and cranes, their subsequent repair costs and downtimes, and the resulting impact on operations."
247,"Synthesis of trenchless technologies.; This study reviews the state of the practice for trenchless technologies in highway construction, concluding that while widely adopted, design guidelines and specifications vary significantly, and accurate subsurface characterization is critical for safety."
248,"Framework for earthquake risk assessment for container ports; This paper provides an overview of concepts and methods developed for the seismic risk management of ports, focusing on system-wide disruptions caused by earthquake damage, which are not considered in current design practices."
249,A method of mapping sinkhole susceptibility using a geographic information system: a case study for interstates in the karst counties of Virginia; This study proposes using a geographic information system to create a sinkhole susceptibility map for Virginia's karst terrain by analyzing five geological and soil-related risk factors to pinpoint regions most at risk.
250,"Design and Application of an Open-Science Electrical Resistivity Meter to Make Geotechnical Laboratory Education More Relevant and Engaging; This work proposes the design and validation of an intuitive, low-cost, open-source electrical resistivity meter for hands-on geotechnical education that accurately characterizes subsurface conditions in tabletop experiments."
251,"Conceptualizing social justice in civil engineering and professors’ perspective: A systematic literature review; This paper argues that civil engineering curricula should integrate a focus on Diversity, Equity, Inclusion, and Justice to produce students with a stronger sense of social agency, addressing the current lack of human-centered learning environments and tools for professors."
252,"Multimodal Transportation Facility Resilience Index; This project develops a graph theory-based methodology, which includes novel traffic volume-based weighting strategies, to determine the resilience index of a transportation infrastructure system and applies it to the highway network of Albemarle County, Virginia."
253,Using readily available data and GIS to map sinkhole risk in the Karst Counties of Virginia; This study proposes and tests a methodology for creating sinkhole susceptibility maps using readily available geographic information system data and five risk factors shown to accelerate sinkhole formation in the karst region of Virginia.
254,"Understanding Host Network Stack Overheads; This paper presents a measurement study of the Linux kernel network stack at 100Gbps, revealing a fundamental shift in bottlenecks where previously insignificant overheads like lock contention and data structure access now dominate CPU utilization."
255,Network-Wide Heavy Hitter Detection with Commodity Switches; This paper presents a distributed heavy-hitter detection scheme for programmable switches that uses adaptive thresholds in the data plane to accurately identify network-wide heavy hitters with up to 70% savings in communication overhead.
256,"{TCP}{≈}{RDMA}:{CPU-efficient} Remote Storage Access with i10; This paper presents i10, a new remote storage stack implemented entirely in the kernel that runs on commodity hardware and saturates a 100Gbps link with CPU utilization comparable to state-of-the-art user-space and RDMA-based solutions."
257,"Towards s Tail Latency and Terabit Ethernet: Disaggregating the Host Network Stack; This paper presents NetChannel, a disaggregated network stack architecture that enables independent scaling of resources per layer, allowing a single application thread to saturate multi-hundred gigabit links and achieve near-linear scalability for small message processing."
258,"dcPIM: Near-Optimal Proactive Datacenter Transport; This paper introduces Datacenter Parallel Iterative Matching (dcPIM), a transport design that leverages a new theoretical analysis to achieve near-optimal tail latency and network utilization with a constant number of control plane rounds."
259,"Fast & Safe IO Memory Protection; To address significant performance degradation from state-of-the-art I/O memory protection, this paper presents Fast & Safe, a simple modification to existing IOMMU mechanisms that provides strong safety properties while achieving high performance."
260,"Building Networked Systems for Terabit Ethernet; This paper argues that due to diverging hardware trends of rapidly increasing network bandwidth and stagnant CPU capacity, network performance bottlenecks have shifted from the network itself to the host network stacks responsible for packet processing."
261,High-throughput and Flexible Host Networking via Control and Data Path Physical Separation
262,"Harmony: A Congestion-free Datacenter Architecture; This paper addresses the challenges posed by best-effort datacenter networks, where unpredictable queueing, delays, and drops introduce inefficiency and complexity into host hardware and software design."
263,OptORAMa: optimal oblivious RAM; This paper explores the long-standing open question of whether an optimal Oblivious RAM construction exists that matches the logarithmic lower bounds without making large memory word assumptions.
264,"Doubly efficient private information retrieval and fully homomorphic RAM computation from ring LWE; This work constructs the first unkeyed, doubly efficient private information retrieval scheme, where the server can perform its own preprocessing, and proves its security under the standard ring learning-with-errors assumption."
265,"Oblivious hashing revisited, and applications to asymptotically efficient ORAM and OPRAM; This paper revisits a prior O(log N)-overhead Oblivious RAM result, patches an incompleteness in its underlying Cuckoo hashing scheme, and then presents a new, simpler ORAM construction that achieves the same optimal asymptotic overhead."
266,"Delegating RAM computations with adaptive soundness and privacy; This paper presents the first RAM delegation scheme that provides both soundness and privacy guarantees in the adaptive setting, where a user can delegate a sequence of computations over a persistent database to a server."
267,"Cryptography for parallel RAM from indistinguishability obfuscation; This work demonstrates the design of asymptotically optimal cryptographic solutions for the Parallel RAM model of computation, including the first publicly verifiable delegation scheme with privacy in the persistent database setting, based on indistinguishability obfuscation."
268,"A logarithmic lower bound for oblivious ram (for all parameters); This work proves a new lower bound for Oblivious RAM in a natural setting of parameters where previous bounds were trivial, specifically when the ORAM cell size is not much larger than the original cell size."
269,"Black box crypto is useless for doubly efficient PIR; This paper shows that constructing secret-key doubly efficient private information retrieval from a large class of generic cryptographic primitives in a black-box way is impossible, suggesting that specific algebraic assumptions are necessary."
270,"MegaBlocks: Breaking the Logarithmic I/O-Overhead Barrier for Oblivious RAM; This work presents a new hierarchical Oblivious RAM construction that closes a theoretical gap for the asymmetric setting and achieves practical performance with small constants and without requiring large local memory, significantly outperforming prior schemes."
271,"Efficient Garbled Pseudorandom Functions and Lookup Tables from Minimal Assumption; This paper develops new techniques to construct efficient garbling schemes for specific functionalities like one-hot encoding and lookup tables using only minimal assumptions of standard pseudorandom functions, eliminating the need for circular security."
272,"Doubly efficient cryptography: commitments, arguments and RAM MPC; This paper shows how to construct ""doubly efficient"" cryptographic schemes, such as commitments and MPC, in the plain model by using doubly efficient private information retrieval as a building block, allowing for sublinear online time after an offline preprocessing phase."
273,"Computational design of peptides that target transmembrane helices; This paper describes a computational method for designing peptides that specifically target transmembrane helices, demonstrating its success by creating peptides that recognize the TM helices of two closely related integrins."
274,"The structure and function of platelet integrins; This article discusses platelet integrins, particularly αIIbβ3, which binds fibrinogen and other proteins to mediate platelet aggregation, and notes that while poised to shift from a resting to an active state, the mechanism remains a key question."
275,"Protein-protein interactions in the membrane: sequence, structural, and biological motifs; This review highlights how single-span transmembrane helices use specific sequence and structural motifs to direct protein complex assembly and mediate signal transduction, suggesting these interactions are potential therapeutic targets."
276,"Evolution of Invasion in a Diverse Set of Fusobacterium Species; Using whole-genome sequencing and comparative analysis, this study investigates the evolution of active and passive invasion strategies in Fusobacterium species, inferring that active invasion followed an adaptive radiation involving new gene acquisition and expansions of gene families."
277,"Single-enzyme biomineralization of cadmium sulfide nanocrystals with controlled optical properties; This paper reports the discovery of a single enzyme, a putative cystathionine γ-lyase (smCSE), that is capable of both catalyzing the mineralization of CdS and templating its growth into quantum-confined nanocrystals."
278,"Optimizing Scaled up Production and Purification of Recombinant Hydrophobin HFBI in Pichia pastoris; This study reports an optimized, five-day, methanol-fed batch shake flask induction and single-step purification process for the recombinant expression of hydrophobin HFBI in Pichia pastoris, achieving yields of 86.6 mg/L."
279,"Effect of Mutations on Smlt1473 Binding to Various Substrates Using Molecular Dynamics Simulations; This study uses molecular docking, molecular dynamics simulations, and machine learning to investigate the binding stability and molecular interactions of various substrates with the polysaccharide lyase Smlt1473 and two of its mutants."
280,"Applying a polysaccharide lyase from Stenotrophomonas maltophilia to disrupt alginate exopolysaccharide produced by Pseudomonas aeruginosa clinical isolates; This study investigates the potential of the polysaccharide lyase Smlt1473 from Stenotrophomonas maltophilia to degrade the exopolysaccharide alginate, a key factor in the antibiotic resistance and immune evasion of Pseudomonas aeruginosa biofilms."
281,Directed Evolution of Silicatein Reveals Biomineralization Synergism between Protein Sequences; This work investigates the catalytic mechanism of the biomineralization protein silicatein and uses directed evolution to generate mutant proteins with augmented activity for synthesizing metal oxide nanoparticles.
282,"Integrating Bacteriocins and Biofilm-Degrading Enzymes to Eliminate L. monocytogenes Persistence; This study investigates a novel dual-action approach combining an engineered polysaccharide-degrading enzyme with a bacteriocin to effectively disrupt biofilms and inactivate Listeria monocytogenes, offering a potential alternative for enhancing food safety."
283,"Cyborg maintenance: Design, breakdown, and inclusion; This paper critiques the utopic imaginaries of the Transhumanist movement by focusing on the ignored daily reality of maintenance for actual cyborgs, arguing that upkeep, rather than upgrading, will be the norm for cyborg bodies."
284,"Engineering our selves: morphological freedom and the myth of multiplicity; This article poses a series of questions about human enhancement, asking readers to consider whether they would use technology to improve existing skills, gain new ones, or acquire abilities outside the current range of human capability."
285,"Morphological freedom and the construction of bodymind malleability from eugenics to transhumanism; This dissertation critiques the goal of perfecting the human bodymind held by eugenicists and transhumanists, arguing instead for a philosophy of intra-dependence grounded in the lived experiences of non-normative people and agential realism."
286,"Imagining Otherwise: The Importance of Speculative Fiction to New Social Justice Imaginaries; This book review discusses how Bodyminds Reimagined by Sami Schalk analyzes speculative fiction to illustrate the intersectional oppressions navigated by disabled women of color, using Octavia Butler's novel Kindred as a key example."
287,"Cyborg-Technology Relations; Drawing from disability studies and crip technoscience, this paper advocates for a disability-forward philosophy of cyborg-technology relations that accounts for technoableism and listens to the experiences of existing disabled technology users."
288,"The Problem of the Sexy Cyborg: The Ethics of Cyborg Imagery; This article argues that popular cyborg tropes in media—apotheosis and grotesquerie—reinforce problematic narratives about disabled people, connecting these images to eugenicist beliefs and resistance to social services."
289,"Social Foundations of Education as a Model for Social Foundations of Engineering: Possibilities for Engaging the Philosophy of Engineering; This paper argues for the creation of a new field, social foundations of engineering, by drawing parallels with social foundations of education and identifying intellectual frameworks from STS, ethics, and social justice to build its conception."
290,"Embodiment Diffracted: Queering and Cripping Morphological Freedom; This article critiques the transhumanist concept of Morphological Freedom, arguing that its insistence on treating everyone as an individual disregards the political and social power of shared embodiment, thus implicitly favoring the wealthy."
291,"Deadnames and Missing Chiralities: A Response to Steve Fuller’s “The Problem of Cishumanism”; This article traces the origin and adoption of the term ""cisgender,"" explaining its Latin roots, its use in chemistry to describe chirality, and its role in transgender activism to de-naturalize identity politics."
292,"Microresonator soliton dual-comb spectroscopy; This paper demonstrates a miniature, soliton-based dual-comb system with high-coherence and broad spectral envelopes, showing the potential for integrated, chip-based spectroscopy with high signal-to-noise ratios and fast acquisition rates."
293,"Soliton frequency comb at microwave rates in a high-Q silica microresonator; This work demonstrates soliton mode locking in high-Q silica resonators, which produce low-phase-noise soliton pulse trains at detectable rates, providing two essential properties for the operation of on-chip, self-referenced frequency combs."
294,"Searching for exoplanets using a microresonator astrocomb; This paper demonstrates an atomic/molecular line-referenced Kerr soliton microcomb for the calibration of astronomical spectrographs, offering an ideal match for spectrograph resolution and a path towards compact systems for exoplanet detection."
295,"Chaos-assisted broadband momentum transformation in optical microresonators; This paper reports the observation of broadband and fast momentum transformations of light in asymmetric whispering gallery microresonators, a phenomenon that enhances third-harmonic generation efficiency by over three orders of magnitude."
296,"Bridging ultrahigh-Q devices and photonic circuits; This paper presents an integrated resonator with a record Q factor over 200 million, demonstrating its use in creating both soliton sources with electronic repetition rates and high-coherence Brillouin lasers, thereby bridging the gap between ultrahigh-Q performance and photonic integration."
297,"Integrated Architecture for the Automated Generation and Coil Stabilization of a PZT-Enabled Microcomb; This paper demonstrates a simplified, stabilized dissipative Kerr soliton microcomb architecture using a single laser and a single-point electronic control to both generate and stabilize the comb to a coil-resonator reference, achieving low phase noise and high stability."
298,"Photonic chip-based optical frequency division with PZT-integrated soliton microcombs; This work advances on-chip optical frequency division technology by using an integrated high-speed PZT actuator on a SiN soliton microcomb to rapidly tune and stabilize the comb, enabling low-noise millimeter-wave generation."
299,"Microcavity Kerr optical frequency division with integrated SiN photonics; This paper demonstrates an ultralow-phase-noise millimeter-wave oscillator by leveraging integrated SiN photonic components, where a Kerr soliton microcomb is stabilized to a coil cavity to perform optical frequency division."
300,"Low voltage, high speed PZT actuated Si3N4 microcombs for laser-tuning-free soliton generation and modulation; This paper demonstrates an integrated PZT SiN Kerr-microcomb that requires less than 10 Volts to initiate a 106.8 GHz soliton without laser frequency tuning, showing a significant improvement in actuation and modulation bandwidth."
301,"Heterogeneous integration of a high-speed photodiode with microcavity solitons for on-chip mmWave generation; This paper presents a photonically driven on-chip millimeter-wave source, enabled by the heterogeneous integration of a high-speed photodiode and silicon nitride microcavity solitons, that delivers 98 GHz signals with low phase noise."
302,Using LEGO MINDSTORMS NXT and LEJOS in an advanced software engineering course; This paper describes the benefits of using LeJOS and the Lego Mindstorms NXT set for teaching advanced software development concepts like threading and network communications in a simulated production environment.
303,"From domain models to architecture frameworks; This paper discusses how domain analysis helped create reusable architectures and components for a real-time embedded system in the domain of portable wireless communication devices, highlighting differences from typical framework development processes."
304,"Computing classification system 1998: current status and future maintenance report of the CCS Update Committee; This article reports on the substantial revision of the ACM Computing Classification System (CCS) to reflect the changed nature of computing, describing the changes and proposing processes for future updates."
305,The Effectiveness of the Stylometry of Function words in Discriminating between Shakespeare and Fletcher; This study evaluates the effectiveness of statistical language analysis for determining authorship in Elizabethan and Jacobean drama by analyzing word usage in plays by Shakespeare and Fletcher to develop procedures for attributing scenes in collaborative works.
306,"Architecting for domain variability; This paper discusses how domain analysis led to the creation of reusable architectures and components in Motorola's FLEX™ Kernel, a set of components for developing portable wireless communication devices."
307,"How student surveys drive change: using the data buddies department report from the computing research association; This panel provides examples of how faculty use the Data Buddies Survey, administered by the Computing Research Association, to refine, expand, and evaluate initiatives for broadening participation in computing."
308,"Hazard Mitigation Planning for Utilities: Forming Partnerships for Leveraging Resources and Funding Opportunities; This document outlines the necessity and process for water and wastewater utilities to engage in hazard mitigation planning, which is required for federal grant eligibility and essential for protecting functionality and minimizing recovery costs from disasters."
309,"Teaching second-level Java and software engineering with Android; This tutorial proposal outlines a plan to help educators incorporate the Android OS platform into second-year Java and software engineering courses, based on beneficial experiences from five course sessions at two universities."
310,"Role of larger software artifacts in introductory computer science courses; This paper compares a conventional lecture-based approach with one using larger software artifacts and guided exercises to teach introductory computer science concepts, assessing impacts on student self-confidence and knowledge."
311,"RAPTOR: Routing Attacks on Privacy in Tor; This paper presents Raptor, a suite of new attacks by Autonomous Systems that exploit Internet routing asymmetries, churn, and BGP hijacks to compromise Tor user anonymity, and proposes monitoring frameworks to counter them."
312,"Bamboozling certificate authorities with {BGP}; This paper rigorously analyzes and demonstrates how network-level adversaries can exploit BGP vulnerabilities to obtain bogus certificates from top Certificate Authorities, and proposes countermeasures like multi-vantage point verification and BGP monitoring."
313,"Counter-RAPTOR: Safeguarding Tor against active routing attacks; To mitigate and detect active BGP routing attacks against Tor, this paper presents a new measurement study on network resilience, proposes a new guard relay selection algorithm that improves client security, and describes a live BGP monitoring system."
314,Securing internet applications from routing attacks; This sentence states that both application-layer and network-layer defenses are critical for fortifying against routing attacks.
315,"Tempest: Temporal dynamics in anonymity systems; This paper presents Tempest, a suite of novel attacks based on temporal dynamics like client mobility and network routing changes, which are shown to severely degrade user privacy across a wide range of anonymity networks including Tor."
316,"Scaling SCIERA: A Journey Through the Deployment of a Next-generation Network; This paper presents key lessons learned from deploying the SCION Education, Research, and Academic (SCIERA) network infrastructure, which was built to facilitate native SCION connectivity for applications and enhance deployment scalability at academic sites."
317,RPKI-Based Location-Unaware Tor Guard Relay Selection Algorithms; This paper proposes and evaluates new location-unaware guard relay selection algorithms for Tor that leverage the Resource Public Key Infrastructure (RPKI) to defend against routing attacks with minimal performance overhead.
318,"Exploring the Ecosystem of DNS HTTPS Resource Records: An End-to-End Perspective; This paper presents the first longitudinal study on the adoption of the DNS HTTPS resource record, analyzing both server-side deployment trends and client-side browser support, while highlighting challenges in its deployment."
319,"Mutual TLS in Practice: A Deep Dive into Certificate Configurations and Privacy Issues; By analyzing over a billion mutual TLS connections from a large campus network, this study quantifies the prevalent use of untrusted certificates and uncovers security concerns arising from misconfigurations, certificate sharing, and long expirations."
320,"Intercepting Bluetooth Traffic from Wearable Health Devices; This work investigates active attacks that intercept Bluetooth connections between wearable health devices and smartphones, finding that several popular devices are vulnerable due to a lack of security mechanisms, allowing adversaries to extract health data from encrypted packets."
321,"A learning platform for SQL injection; This paper presents a hands-on, extensible web application system with 12 levels designed to teach university students about various SQL injection vulnerabilities and how to exploit them."
322,"Hobbits: Hadoop and Hive based Internet traffic analysis; This paper presents Hobbits, a Hadoop and Hive based traffic analysis system that performs scalable IP and TCP analysis of large-sized Internet traffic, outperforming previous solutions in both job completion time and storage efficiency."
323,MapReduce-based deep learning with handwritten digit recognition case study; This research improves the accuracy of handwritten digit recognition by implementing a Convolutional Neural Network with elastic distortion and enhances efficiency by using a distributed implementation on a Spark cluster.
324,"Who needs help? Automating student assessment within exploratory learning environments; This article describes the development of a regression model that successfully estimates student assessments in an exploratory medical diagnosis tutor, demonstrating a technique that can direct teachers' attention to students in need of help."
325,"Prediction of enzyme mutant activity using computational mutagenesis and incremental transduction; This paper proposes an incremental transductive method using Delaunay tessellation and random forests to predict enzyme mutant activity during mutagenesis, showing significantly better performance than one-shot learning methods."
326,"How many words does it take to understand a low-resource language?; This study is the first to evaluate the minimum documentation needed for transfer learning in low-resource languages, finding that sentence embedding performance accelerates with a vocabulary size of 1000 or less and levels off around 25,000."
327,"ASCI: AI-Smart Classroom Initiative; This paper presents the Artificial Intelligence Smart Classroom Initiative, a re-imagined set of interoperable online course tools including a smart office hours queue, an automatic grouping algorithm, and a local LLM, designed to support growing computer science classes."
328,"Towards more efficient office hours for large courses: Using cosine similarity to efficiently construct student help groups; This poster introduces a novel office hours queue feature that automatically groups students based on the cosine similarity of their reported issues, with simulations showing significant decreases in wait time on the busiest days."
