ID,Name,Departments,Description
76,Osman Ozbulut,CE,"Osman Ozbulut is a Professor in the Department of Civil and Environmental Engineering at the University of Virginia. His research focuses on applying innovative materials, sensing technologies and interdisciplinary expertise to the development of resilient and sustainable civil infrastructure systems. He is particularly interested in: (i) development of innovative structural systems and design strategies to enhance the performance and safety of structures; (ii) application of advanced materials for disaster resistant design of structures as well as repair and retrofit of deficient and aging civil infrastructure; and (iii) development and application of novel structural health monitoring techniques for civil infrastructure systems."
77,B. Park,CE;SYS,"Brian Park is a Professor in the Department of Civil and Environmental Engineering and the Department of Systems and Information Engineering at the University of Virginia. Prior to joining the University of Virginia, he was a Research Fellow at the National Institute of Statistical Sciences and a Post-Doctoral Research Associate at North Carolina State University. Dr. Park received the B.S. and the M.S. from the Hanyang University, Seoul, Korea, and the Ph.D. from the Texas A&M University."
78,Lisa Peterson,CE,"Lisa leads the UVA LCA Lab, which applies systems-based approaches to evaluating new technologies and policies meant to deliver clean water, low-carbon energy, climate change mitigation, and/or other environmental benefits. Her group conducts life cycle assessment (LCA), techno-economic analysis (TEA), and related systems analyses. She has produced more than 60 peer-reviewed publications (h-index = 30). Active research grants include awards from the US National Science Foundation, US Department of Energy (EERE), US Department of Transportation, and others. She serves on UVA's Faculty Senate and its Committee on Sustainability. She is also CEE's Associate Chair for Research and Strategy. She has directed three GAANN doctoral traineeship programs from the US Department of Education. She holds an MS and PhD in Environmental Engineering from the University of Michigan and a BS in Biological Engineering from Cornell University."
79,Julianne Quinn,CE;SYS,"As a longtime math geek and nature lover, I was excited to learn I could make a career as an environmental systems engineer, applying concepts of mathematics to improve the management of environmental systems. My research specifically focuses on advancing optimization and simulation methods used to inform the design and management of water resources systems with the goals of protecting people from nature (floods and droughts), and nature from people (pollution and consumption). I view this as an iterative process beginning with risk and uncertainty analysis to discover which sectors and populations are most vulnerable to natural and anthropogenic hazards, followed by multi-objective optimization of the system to reduce these multi-sectoral vulnerabilities. I am particularly interested in how advanced sensing and forecasting techniques can be used to inform this optimization."
80,Majid Shafiee-Jood,CE,"Majid Shafiee-Jood is a Research Assistant Professor in the Department of Civil and Environmental Engineering at the University of Virginia, where he also serves as the Director of Graduate Studies. Shafiee-Jood conducts interdisciplinary research at the intersection of climate risk management, water management, decision making, and policy."
81,Brian Smith,CE,"Brian L. Smith, PE is a leader in advanced technology in surface transportation systems. His research has contributed to innovations such as mobile phone navigation systems and urban freeway management that has led to revolutionary improvements in travel experience. His primary research interests are in transportation systems engineering, focusing on sustainability, connected and automated vehicle systems, and advanced transportation management. Dr. Smith has published transportation-related research in the areas of cooperative systems, probe-based traffic monitoring, statistical modeling, traffic flow theory, data mining, geographic information systems (GIS), and artificial intelligence. He regularly provides advice and guidance to transportation leaders at the state and national levels, as well as in industry. Dr. Smith has taught courses on transportation engineering, civil engineering design, systems engineering, geographic information systems, and construction engineering."
82,James Smith,CE,"James A. Smith is an environmental engineer holding the Henry L. Kinnier Chair of Civil Engineering in the Department of Civil and Environmental Engineering at the University of Virginia. He received his B.S. and M.S. degrees in Civil Engineering from Virginia Tech in 1983 and 1984, respectively. He received his Ph.D. in Civil Engineering from Princeton University in 1992."
83,Mami Taniuchi,CE,"Dr. Taniuchi received her PhD in Biomedical Engineering from the University of Virginia. She works with Eric Houpt, MD, and William Petri, Jr., MD, in developing molecular diagnostic assays to detect enteric pathogens that cause diarrhea and malnutrition. Her focus is to develop assays on platforms that can be used in low resource settings such as Bangladesh, Pakistan, Tanzania, and Thailand to study etiology of diarrhea and vaccine efficacy."
84,Rob Tieman,CE,"I serve as Professor of Practice at the University of Virginia and the Virginia Transportation Research Council to strengthen and build our impact in state and national transportation conversations and initiatives. Additionally, I strive to advance transportation project management knowledge sharing through AASHTO, speaking engagements, and writing. Previously I worked in consulting and government, most recently as the Director of VDOT's Project Management Office responsible for providing technical and project management expertise and support for all preliminary engineering projects in VDOT's Six-Year Improvement Plan."
85,Homa Alemzadeh,CS;ECE,"Homa Alemzadeh is an Associate Professor in the Department of Electrical and Computer Engineering and Computer Science (by courtesy) at the University of Virginia. She is also affiliated with the UVA Link Lab, a multi-disciplinary center for research and education in Cyber-Physical Systems (CPS). Before joining UVA, she was a Research Staff Member at the IBM T. J. Watson Research Center. She received her Ph.D. in Electrical and Computer Engineering from the University of Illinois at Urbana-Champaign and her B.Sc. and M.Sc. in Computer Engineering from the University of Tehran. She is the recipient of the 2022 CAREER Award from the National Science Foundation and 2017 William C. Carter Ph.D. Dissertation Award in Dependability from the IEEE TC and IFIP Working Group 10.4 on Dependable Computing and Fault Tolerance."
86,Panagiotis Apostolellis,CS,"Panagiotis Apostolellis is a full-time Associate Professor in the Computer Science Department at the University of Virginia. He received his PhD in Computer Science & Applications from Virginia Tech in 2017. He also holds a MSc in Computer Science from Virginia Tech and an MSc in Human-Centered Systems from the University of Sussex (UK). Additionally, Panagiotis has a Graduate Certificate in Human-Computer Interaction from Virginia Tech (2015). While a graduate student at Virginia Tech (2011-2017), he worked at the Center for Human-Computer Interaction under the guidance of Dr. Doug Bowman, researching the impact of audience interaction using serious games and VR on young student audiences visiting informal learning spaces. His teaching experience involves being an Adjunct faculty member and a Visiting Assistant Professor at Virginia Tech, serving as a Teaching Assistant in multiple CS courses, and teaching diverse audiences about IT and New Media Technologies. His dissertation received the Outstanding Research award for 2017-2018 from the CS department at Virginia Tech. Panagiotis has also extensive experience as a Senior Interactive Systems Designer and Developer at a cultural institution in his home country, Greece (2000-2011)."
87,Christopher Barrett,CS,"Christopher L. Barrett is the inaugural Distinguished Professor in Biocomplexity, Executive Director of the Biocomplexity Institute, and Professor in the Department of Computer Science at the University of Virginia. He is an interdisciplinary computational scientist who has published more than 100 research articles exploring all aspects of large multi-scale interaction systems. During the past 35 years, Barrett has conceived, founded, and led large interdisciplinary complex systems research projects and organizations, established national and international technology programs, and co-founded organizations for federal agencies such as the Department of Defense, the Department of Energy and the Department of Homeland Security."
88,Nada Basit,CS,"Nada Basit is a full-time Associate Professor in the Computer Science Department at the University of Virginia. She received her PhD in Computer Science from George Mason University and earned her MS degree at GMU as well. She received her BS in computer science from University of Mary Washington. In addition, she has a Graduate Certificate in Biometrics from the Volgenau School of Engineering at George Mason University. While a graduate student at George Mason University, she had extensive teaching experience both as a Graduate Teaching assistant to a number of graduate level courses there, and as an Adjunct faculty member teaching a number of undergraduate courses at University of Mary Washington. She was also selected to be a Research Fellow in the summer of 2001 at the Pratt School of Engineering at Duke University."
89,Madhur Behl,CS,"Dr. Madhur Behl is an Associate Professor in the department of Computer Science at the University of Virginia and an Amazon Scholar. His research spans robotics, autonomous systems, and cyber-physical systems, with a focus on physical AI, autonomous driving, and high-speed decision making. He is the founder and team principal for UVA�s Cavalier Autonomous Racing team � the first American team to win the Indy Autonomous Challenge. He also co-founded the F1Tenth autonomous racing platform and the international F1Tenth (now Roboracer) Grand Prix competitions.  Dr. Behl received his Ph.D. (2015) and M.S. (2012) in Electrical and Systems Engineering from the University of Pennsylvania. He is an IEEE Senior Member and the recipient of the NSF CAREER Award. He holds editorial roles spanning the Journal of Field Robotics, IEEE Robotics and Automation Letters (RA-L), ACM Transactions on Cyber Physical Systems (TCPS), and the SAE Journal of Connected and Automated Vehicles - covering the spectrum of robotics, autonomy, and CPS. He was Program Co-Chair (2024) and General Chair (2025) of the ACM/IEEE International Conference on Cyber-Physical Systems (ICCPS). His work has received multiple Best Paper Awards at top venues including IROS, ACC, ICCPS, and BuildSys, as well as major honors such as first place in the DOE Cleantech Prize (2016), winner of the World Embedded Software Contest (2011), and multiple Outstanding Researcher Awards from the University of Virginia. Dr. Behl also serves on the Academic Advisory Council of the Partners for Automated Vehicle Education (PAVE) campaign, advancing public understanding of autonomous vehicles and their societal impact."
90,Aaron Bloomfield,CS,"Aaron Bloomfield is a professor who joined the department of Computer Science in 2004. He earned his BS and MS in Computer Science at SUNY Stony Brook, and his Ph.D. in Computer and Information Science at the University of Pennsylvania in 2003. His research focuses on computer science education, specializing in assessment systems and systems to expedite grading while increasing it's efficacy. He has a heavy emphasis on teaching, and he created the CS department's Service Learning Practicum, a two semester capstone for CS majors. He has won over a dozen teaching awards, including the Hartfield-Jefferson Teaching Prize, Trigon Engineering Society's Hutchinson Award, and an All-University teaching award."
91,Qizhe Cai,CS,"Qizhe Cai is an Assistant Professor of Computer Science at the University of Virginia. His research lies at the intersection of operating systems, networks, and hardware. Qizhe earned his Ph.D. in Computer Science from Cornell University, his M.S. from Princeton University, and his B.S. from the University of Michigan."
92,Brad Campbell,CS,"Brad is a faculty member in the Computer Science Department, the Electrical & Computer Engineering Department, and the Link Lab. His group researchers and develops the next generation of low power, wireless, and secure Internet of Things systems to help make buildings and cities more sustainable."
93,Rohan Chandra,CS,"Rohan Chandra is an Assistant Professor in Computer Science at the University of Virginia and leads the CRΔL lab. From 2022 to 2024, he was a postdoctoral research fellow in Texas Robotics, advised by Dr. Joydeep Biswas and Dr. Peter Stone, at the University of Texas at Austin. His research focuses on algorithms and systems for enabling robots to navigate safely and efficiently among humans, like humans. Rohan obtained his M.S. and Ph.D. in 2018 and 2022 from the University of Maryland, College Park advised by Dr. Dinesh Manocha, and completed his B.Tech from the Delhi Technological University, New Delhi in 2016. His doctoral thesis focused on autonomous driving in dense, heterogeneous, and unstructured traffic environments."
94,Chen Chen,CS,"Chen Chen is an Assistant Professor in the Computer Science Department at the University of Virginia. Before that, she was a Research Assistant Professor at Biocomplexity Institute at UVA and a software engineer at Google. She received her Ph.D. in Computer Science from Arizona State University, M.Sc degree from New York University, and B.Eng degree from Beihang University. Her research has been focusing on data mining, machine learning and computational epidemiology. Chen has received several awards, including “Bests of KDD”, “Bests of SDM” and Rising Star in EECS."
95,Yue Cheng,CS,
96,Zezhou Cheng,CS,
97,Hadi Daneshmand,CS,"Before joining UVA, I was a postdoctoral researcher at FODSI, jointly hosted by MIT and Boston University. I completed my PhD in computer science at ETH Zurich. I am developing theoretical guarantees for deep neural networks and studying their mechanisms. While deep nets are often perceived as statistical parametric models, I study neural networks from computational perspectives, linking their feature extraction mechanism to continuous optimization methods."
98,Jack Davidson,CS,"Jack W. Davidson is a Professor of Computer Science in the School of Engineering and Applied Science at the University of Virginia. He joined the faculty in 1981 after receiving his Ph.D. in Computer Science from the University of Arizona. Professor Davidson’s research interests include compilers, computer security, programming languages, computer architecture, and embedded systems. He is the principal investigator on several ongoing grants to develop comprehensive methods for protecting software from malicious attacks."
99,Jack Doerner,CS,"Research interests include theoretical and applied cryptography, multiparty computation, threshold signatures, and zero-knowledge proofs."
100,Afsaneh Doryab,CS;SYS,"My research is at the intersection of ubiquitous computing, AI, HCI, and health. I work on computational modeling of human behavior (incl. Activity Recognition) from data streams collected via mobile, wearable, and embedded sensors."
101,Sandhya Dwarkadas,CS,"Her research lies at the intersection of computer hardware and software with a particular focus on support for parallelism. She has made fundamental contributions to the design and implementation of shared memory both in hardware and software, and to hardware and software energy- and resource-aware configurability."
102,Matthew Dwyer,CS,"Matthew B. Dwyer is the Robert Thomson Distinguished Professor in the Department of Computer Science at the University of Virginia.  His research interests focus on methods for reasoning about the behavior of software.  His prior work has improved and applied a wide-range of formal reasoning frameworks, such as model checking, symbolic execution, and abstract interpretation, to programs.  His current efforts are exploring methods to assure the dependability of autonomous systems built from diverse component sources (e.g., software built by humans, trained by machine-learning approaches, or synthesized from high-level models)."
103,Sebastian Elbaum,CS,
104,Sarah Elder,CS,"Ph.D., North Carolina State University"
105,David Evans,CS,"For information about me and my research, please see my web page and research group blog."
106,Farzad Farnoud,CS;ECE,"Research interests: Information and Coding Theory, Stochastic Modeling, Machine Learning, Bioinformatics"
107,Lu Feng,CS;SYS,"Lu Feng is an Associate Professor of Computer Science at the University of Virginia. She is also a member of the Link Lab - the center of research excellence in Cyber-Physical Systems. Her research focuses on assuring the safety and trustworthiness of cyber-physical systems, with applications ranging from medical devices, to autonomous robots, to smart cities."
108,Ferdinando Fioretto,CS,"Ferdinando (Nando) Fioretto is an assistant professor of Computer Science at the University of Virginia. Before joining the University of Virginia, he was an assistant professor at Syracuse University and prior to that a postdoctoral research associate at the Georgia Institute of Technology and a research fellow at the University of Michigan. He obtained a dual PhD degree in Computer Science from the University of Udine and New Mexico State University."
109,Tom Fletcher,CS;ECE,"Tom Fletcher is an associate professor in the Department of Electrical and Computer Engineering as well as the Department of Computer Science. He received his B.A. degree in Mathematics at the University of Virginia in 1999. He received an M.S. in Computer Science in 2002 followed by a Ph.D. in Computer Science in 2004 from the University of North Carolina at Chapel Hill. His research has been recognized with six best paper awards in the top image analysis and computer vision conferences (MICCAI, IPMI, ISBI, ICCV) and journals (MedIA, Signal Processing)."
110,Mark Floryan,CS,"I focus on computer science education and the ways in which computing can improve education more generally. I teach core computer science courses (e.g., Data Structures, Algorithms) as well as electives related to my field (e.g., Game Design, Artificial Intelligence, HCI). As a researcher, I strive to get undergraduate students involved in research activities and to continue to investigate the ways in which games, artificial intelligence, and human centered design can create more personalized educational experiences for all."
111,Geoffrey Fox,CS,"Geoffrey C. Fox received a Ph.D. in Theoretical Physics from Cambridge University, where he was Senior Wrangler. He is now a Professor in the Biocomplexity Institute & Initiative and Computer Science Department at the University of Virginia.  He previously held positions at Caltech, Syracuse University, Florida State University, and Indiana University. after being a postdoc at the Institute for Advanced Study at Princeton, Lawrence Berkeley Laboratory, and Peterhouse College Cambridge. He has supervised the Ph.D. of 75 students. He has an hindex of 85 with over 41,000 citations. He received the High-Performance Parallel and Distributed Computing (HPDC) Achievement Award and the ACM - IEEE CS Ken Kennedy Award for Foundational contributions to parallel computing in 2019. He is a Fellow of APS (Physics) and ACM (Computing) and works on the interdisciplinary interface between computing and applications. He is currently active in the Industry consortium MLCommons/MLPerf."
112,Daniel Graham,CS,1. Ethical Hacking: A Hands-on Introduction to Breaking In
113,Wajih Hassan,CS,"Wajih Ul Hassan is an Assistant Professor of Computer Science at the University of Virginia, where his research is centered on system intrusion detection and forensic investigation through the application of machine learning and data provenance techniques. He earned his Ph.D. in Computer Science from the University of Illinois Urbana-Champaign in 2021. Wajih has collaborated with NEC Labs and Symantec Research Labs to bring his innovative defensive strategies into commercial security products. His work has earned him prestigious honors, including the NSF CAREER Award, a Symantec Research Labs Graduate Fellowship, an ACM SIGSOFT Distinguished Paper Award, and recognition as a Young Researcher at the Heidelberg Laureate Forum, among others."
114,Seongkook Heo,CS,"Human-Computer Interaction, Interaction Techniques, Novel Sensing Techniques, Haptics"
115,Thomas Horton,CS,"After growing up in Tennessee and completing my PhD in Scotland, I taught for 13 years at Florida Atlantic University. I joined UVa in January 2001, where I have taught courses in programming, algorithms, software engineering, HCI, and other topics. I have a strong interest in computer science education, as well as an interest in digital humanities, particularly the study of language patterns in literary texts. I have a strong commitment to leadership and service in our department, school and university."
116,John Hott,CS,"John Hott is an Associate Professor in the Department of Computer Science. He earned is Ph.D. in Computer Science at the University of Virginia, and his BS in Computer Science and Mathematics and MS in Computer Science at the College of William and Mary. His research focuses on measuring and increasing student success in the CS classroom: analyzing student engagement in class discussion forums, the effectiveness of collaboration policies, positive approaches to academic integrity, and ways to incorporate Artificial Intelligence to improve community and assistance in increasingly larger courses. He also is interested in measuring and analyzing evolving social networks and grounding those results in application domains in Computer Science, the Humanities, and Education."
117,Tariq Iqbal,CS;SYS,"My research focuses on building robotic systems that can fluently coordinate and collaborate with people in complex human environments - for example, in a factory setting in close proximity with people. In order to successfully act within a group, a robot must be able to perceive and predict the intentions of other group members and use that knowledge to determine when, where, and how to act for the team's benefit. My work uses robotics, artificial intelligence, computer vision, and machine learning approaches to tackle these problems."
118,Yangfeng Ji,CS,"Natural Language Processing, Machine Learning"
119,Adwait Jog,CS,"His research interests lie in the broad area of computer architecture and systems. Specifically, he is interested in designing efficient and robust GPU and accelerator-rich systems. Jog's research has consistently been published at premier IEEE/ACM computer systems and architecture venues and funded by several agencies such as NSF and Google. He is a senior member of both IEEE and ACM."
120,Henry Kautz,CS,"Henry Kautz a Professor of Computer Science at the University of Virginia. From 2018 to 2022 he served as Division Director for Information & Intelligent Systems (IIS) at the National Science Foundation, where he led the National AI Research Institutes program. He was the founding director of the Goergen Institute for Data Science at the University of Rochester. He received the 2018 ACM-AAAI Allen Newell Award for career contributions that have breadth within computer science and that bridge computer science and other disciplines, and at the 2020 AAAI Conference received both the Distinguished Service Award and the Robert S. Engelmore Memorial Lecture Award. His research includes practical algorithms for solving worst-case intractable problems in logical and probabilistic reasoning, pervasive healthcare applications of AI, and social media analytics."
121,Samira Khan,CS,"Computer Architecture, Grid/Cloud/High-performance Computing, Programming Languages and Compilers"
122,Arohi Khargonkar,CS,"M.Tech in Biomedical Engineering, Manipal Institute of Technology (2014)"
123,Hyojoon Kim,CS,"Hyojoon Kim serves as an Assistant Professor in the Department of Computer Science at the University of Virginia. His research interests lie in computer networks and distributed networked systems, with a specific focus on in-network computing, programmable networks, software-defined networking, network measurement, and network security. Dr. Kim earned his Ph.D. in Computer Science from Georgia Tech and holds a Bachelor’s degree in Computer Science from the University of Wisconsin - Madison. Before coming to UVA, he worked as an Associate Research Scholar at Princeton University."
124,Yen-Ling Kuo,CS,"Robot Learning, Human-AI/Robot Interaction, Artificial Intelligence"
125,Yonghwi Kwon,CS,"My research interests include software systems security (i.e., securing software to prevent cyber attacks), cyber forensics (i.e., recovering cyber forensic evidence from data/programs), and software engineering (software testing and reverse engineering)."
126,Jundong Li,CS;ECE,"Jundong Li is an Assistant Professor at the University of Virginia with appointments in the Department of Electrical and Computer Engineering, Department of Computer Science, and School of Data Science. Prior to joining UVA, he received his Ph.D. degree in Computer Science at Arizona State University in 2019 under the supervision of Dr. Huan Liu, his M.Sc. degree in Computer Science at the University of Alberta in 2014, and his B.Eng. degree in Software Engineering at Zhejiang University in 2012. His research interests are generally in data mining and machine learning, with a particular focus on graph machine learning, trustworthy/safe machine learning, and, more recently, large language models. He has published over 150 papers in high-impact venues (including KDD, WWW, WSDM, NeurIPS, ICML, ICLR, IJCAI, AAAI, ACL, EMNLP, NAACL, SIGIR, CIKM, ICDM, SDM, ECML-PKDD, CSUR, TPAMI, TKDE, TKDD, TIST, etc), with over 14,000 citation count. He has won several prestigious awards, including SIGKDD Rising Star Award (2024), PAKDD Best Paper Award (2024), PAKDD Early Career Research Award (2023), NSF CAREER Award (2022), SIGKDD Best Research Paper Award (2022), JP Morgan Chase Faculty Research Award (2021 & 2022), and Cisco Faculty Research Award (2021), among others. His group's research is generously supported by NSF (CAREER, III, SaTC, SAI, S&CC), DOE, ONR, Commonwealth Cyber Initiative, Jefferson Lab, JP Morgan, Cisco, Netflix, and Snap."
127,Felix Lin,CS,"Felix Xiaozhu Lin joined the Department of Computer Science as an associate professor in August 2020. Prior to his appointment at UVA Engineering, Lin was a tenured associate professor in the School of Electrical and Computer Engineering at Purdue University. He earned a bachelor’s in automation in 2006 and a master’s in computer science in 2008 from Tsinghua University. In 2014, Lin completed his doctoral research and received a Ph.D. in computer science from Rice University. The same year, he joined Purdue University as an assistant professor. Lin’s research focuses on methods to accelerate and safeguard software systems."
128,Wei-Kai Lin,CS,"I am an assistant professor in the Computer Science Department at University of Virginia. Earlier, I was a postdoctoral researcher at Northeastern University, advised by Professor Daniel Wichs. I got my Ph.D. in Computer Science at Cornell and then worked as a postdoc at CMU, both advised by Professor Elaine Shi. Prior to that, I got my B.S. and M.S. degrees from National Taiwan University, and then I was a software engineer."
129,Chang Lou,CS,"Chang Lou is a tenure-track assistant professor in Department of Computer Science at University of Virginia. His research interests are distributed systems, operating systems, and cloud computing. His work centers on improving system reliability and availability. A major focus is enhancing the capabilities of cloud systems to detect, localize, and respond to complex failures during runtime. He has published multiple works on top system conferences including OSDI, NSDI, and ATC. His contributions received recognition including USENIX NSDI Best Paper Award in 2020 for his work on partial failures. In addition, his research on handling memory leaks in cloud infrastructure has been successfully deployed across millions of servers within Microsoft Azure."
130,Madhav Marathe,CS,"Madhav Marathe is an endowed Distinguished Professor in Biocomplexity, Executive Director of the Biocomplexity Institute, and a tenured Professor of Computer Science at the University of Virginia. Dr. Marathe is a passionate advocate and practitioner of transdisciplinary team science. During his 30-year professional career, he has established and led a number of large transdisciplinary projects and groups. His areas of expertise include digital twins, network science, artificial intelligence, high-performance computing, computational epidemiology, biological and socially coupled systems, and data analytics."
131,Yu Meng,CS,"Machine Learning, Natural Language Processing, Data Mining"
132,Briana Morrison,CS,"Prior to joining UVA, Briana worked for IBM for 8 years as a software developer and then transitioned to academia. She was an Assistant Professor at Southern Polytechnic State University (now Kennesaw State University) for 20 years in the Computer Science department. She was the Undergraduate Coordinator for the Computer Science and Software Engineering programs, helped to found the Computer Game Design and Development degree program, and served as the lead for 2 successful ABET accreditation visits. She has a PhD in Human-Centered Computing from the Georgia Institute of Technology,  a master's in Computer Science, and a bachelor's degree in Computer Engineering. She also was an Assistant Professor at the University of Nebraska Omaha for 5 years where she taught programming courses and classes in the Masters of Computer Science Education Program. She has served on the ACM SIGCSE Board, the ACM Education Committee, the College Board AP CSA Development Committee, and was the co-editor of EngageCSEdu. She is an ACM Distinguished Member and is currently the co-Chair of the ACM Education Board. Her research area is Computer Science Education where she explores cognitive load theory within programming, broadening participation in computing and expanding and preparing computing high school teachers."
133,Denis Nekipelov,CS,"Ph.D. in Economics, Duke University, Durham, NC, USA, 2008"
134,Subigya Nepal,CS,"I'm an experimental computer scientist who studies mental health through the lens of everyday technology. I collect data from smartphones and wearables to understand how people actually behave in the wild, then build AI systems that can predict mental health challenges and deliver adaptive AI-driven interventions at just the right moment."
135,N. Nguyen,CS,"Biological Image Analysis, Machine Learning, CS Education Innovation"
136,Angela Orebaugh,CS,"Angela Orebaugh is saving the world bit-by-bit. Her teaching and research is focused on keeping us safe and secure in the cyber world, blended with a passion for promoting mindful, intentional, engagement with technology. She explores the intersection of technology, mindfulness, and digital well-being in partnership with UVA's Contemplative Science Center where she serves as the co-editor of the Contemplation + Technology special edition of the Journal for Contemplative Studies. She has developed a new course titled Human-Centered Computing for Digital Well-Being, which teaches students how to design and use technology to support human flourishing."
137,Raymond Pettit,CS,"Computer scientist with 12 years in industry, then 16 years (and counting) in academia. Industry work early in my career involved writing software for 6 different private companies and government research organizations. In 2004 I went back to grad school and worked as a graduate assistant while pursuing a Ph.D. In 2006 I began teaching as an adjunct faculty member, and slowly transitioned to fulltime faculty positions as I finished my dissertation. In 2018 I left Abilene Christian University after 12 years to teach at the University of Virginia. I'm currently at the rank of Assistant Professor."
138,Upsorn Praphamontripong,CS,
139,Yanjun Qi,CS,"Yanjun Qi is an Associate professor (tenured) of the University of Virginia, Department of Computer Science since 2013. She was a senior researcher in the Machine Learning Department at NEC Labs American, Princeton, NJ from July 2008 to August 2013. Her research interests are within machine learning, deep learning, and bioinformatics. She obtained her Ph.D. degree from the School of Computer Science at Carnegie Mellon University in May 2008 and received her Bachelor's degree with highest honors from the Computer Science Department at Tsinghua University, Beijing. She has served as PCs and reviewers for multiple renowned international conferences/ journals and has co-chaired the NIPS “Machine Learning for Computational Biology” workshop. Dr. Qi has received a CAREER award from NSF."
140,Kun Qian,CS,"Kun Qian is an Assistant Professor in the Department of Computer Science at the University of Virginia. He is also a member of the Link Lab. Before joining UVA, he was a postdoctoral researcher at the University of California San Diego. He received his Ph.D. and B.E. from Tsinghua University in 2019 and 2014. His research interests are around ambient intelligence empowered by wireless technologies. He builds wireless models, algorithms, and systems utilizing ubiquitous wireless modality, with applications across a broad spectrum of physical-aware scenarios, including next-generation communication, intelligent IoT sensing, autonomous driving, and mobile computing."
141,Charles Reiss,CS,"Charles Reiss is an Assistant Professor, specializing in computer systems-related topics.Before joining UVa, he received in PhD from Berkeley, developing systems to analyze memory requirements in analytics systems like Apache Spark."
142,Daniel Rosenkrantz,CS,"Dr. Daniel J. Rosenkrantz is a Distinguished Institute Professor with the Biocomplexity Institute and Initiative at the University of Virginia. He has made fundamental contributions to many areas of computer science including formal languages, theory of computation, compilers, analysis of algorithms, database systems, very large-scale integration, fault-tolerant computing, operations research and discrete dynamical systems. He is also listed in several notable “Who’s Who” lists for his many scientific achievements."
143,Haiying Shen,CS,"Haiying Shen received her BS degree in Computer Science and Engineering from Tongji University, China in 2000, and her MS and Ph.D. degrees in Computer Engineering from Wayne State University in 2004 and 2006, respectively. She was a faculty member in the Department of Computer Science and Computer Engineering at University of Arkansas from 2006 to 2009, and was a faculty member in the Department of Electrical and Computer Engineering at Clemson University from 2009 to 2016. She joined the University of Virginia Department as an Associate Professor in 2016. She was a recipient of the TCSC Mid-career Award 2015, IBM Faculty Award 2015, NSF CAREER Award 2013, Sigma Xi Clemson Chapter Young Investigator of the Year Award 2013, Microsoft Faculty Fellowship Award 2010, Award for Faculty Excellence of Clemson University 2010, and Undergraduate Mentor Thesis Award of University of Arkansas in 2009. She is an Associate Editor for the IEEE/ACM Transactions on Networking (TON) and the IEEE Networking Letters (NL). She is also a program committee member of many leading conferences, and the former program co-chair for a number of international conferences."
144,Mark Sherriff,CS,"Mark Sherriff is a Professor of Computer Science (Academic General Faculty) in the Department of Computer Science, having joined the department in 2007. He currently serves as Associate Department Chair and Director of the Bachelor of Science degree program in the School of Engineering and Applied Science. His teaching interests include software engineering, video game design, and mobile app development. His research interests are in CS education, the scholarship of teaching and learning (SoTL), and gamification.  He has won numerous awards for his teaching, including the 2016 IEEE Computer Society Mary Kenneth Keller Computer Science and Engineering Undergraduate Teaching Award and the 2014 University of Virginia All-University Teaching Award. In 2019, Mark became a Senior Member of the IEEE and ACM. He received his BS in Computer Science from Wake Forest University in 2002 and his MS and PhD from NC State University in 2004 and 2007."
145,Kevin Skadron,CS,"Kevin Skadron has been on the faculty at UNIVERSITY OF VIRGINIA since 1999. He received his B.S. in Electrical and Computer Engineering and B.A. in Economics from RICE UNIVERSITY in 1994, and his Ph.D. in Computer Science from PRINCETON UNIVERSITY in 1999. He spent the 2007-08 academic year on sabbatical at NVIDIA Research. He served as department chair from 2012-2021. He also helped found and served as director for the SRC JUMP 1.0  CENTER FOR RESEARCH ON INTELLIGENT STORAGE AND PROCESSING IN MEMORY (CRISP) and the CENTER FOR AUTOMATA PROCESSING (CAP). He is now a member of the SRC JUMP 2.0 CENTER FOR RESEARCH ON PROCESSING IN STORAGE AND MEMORY (PRISM). Skadron is the recipient of the 2023 SRC/SIA UNIVERSITY RESEARCH AWARD, 2011 ACM SIGARCH MAURICE WILKES AWARD, and a Fellow of the IEEE and ACM. For the year 2003-04, he was named a UNIVERSITY OF VIRGINIA TEACHING FELLOW. Among other professional activities, he co-founded IEEE COMPUTER ARCHITECTURE LETTERS, for which he served as associate editor-in-chief from 2001-2009 and editor-in chief from 2010-2012. He has served on the editorial board of IEEE Micro from 2004-2012 and as co-founder/co-editor (with Kevin Rudd) of its ""Prolegomena"" column, as secretary-treasurer of ACM's SIGARCH from 2007-2011, as technical program co-chair of PACT 2006, general co-chair for PACT 2002 and MICRO-37, and on numerous technical program committees. He has also given several conference keynotes."
146,Richard Stearns,CS,"Computational complexity, Automata theory, Analysis of algorithms, Discrete dynamical systems, Game theory"
147,Derrick Stone,CS,"During my time as a software engineer, I've worked with small businesses, large enterprises, governments, healthcare systems and startups. I have a love for programming, elegant and performant systems, and strong cohesive teams of people. It is rewarding to help students learn the fundamentals of programming, as well as current tools and approaches to managing complex software projects."
148,Kevin Sullivan,CS,"Kevin Sullivan obtained his background in computer science from Tufts University (1987), working most closely with David Krumme, and in graduate school at the University of Washington, working with David Notkin (MS, 1994, PhD, 1994)."
149,Yixin Sun,CS,"Network Security and Privacy, Routing Security, Anonymity Systems, Network Attacks and Defenses"
150,Yuan Tian,CS,"Security and Privacy, Cyber-Physical System, Machine Learning, Human-Computer Interaction"
