CourseID,Number,Name,Description
181,6993,Independent Study,CE 6993 Independent Study  Student Evaluations Detailed study of graduate course material on an independent basis under the guidance of a faculty member. Master's-level graduate students. Prerequisites: Instructor Permission
182,6995,Supervised Project Research,CE 6995 Supervised Project Research  Student Evaluations Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary. Master's-level graduate students. Prerequisites: Instructor Permission
183,7001,Graduate Seminar,CE 7001 Graduate Seminar  Student Evaluations Weekly meeting of graduate students and faculty for presentation and discussion of contemporary research and practice in civil engineering. This seminar is offered every spring and fall semesters. Prerequisite: For students who have established resident credit.
184,7993,Independent Research in CE,CE 7993 Independent Research in CE  Student Evaluations Detailed independent study of graduate course material under the guidance of a faculty member. Doctoral-level graduate students. Prerequisites: Instructor Permission
185,8001,Graduate Teaching Instruction,CE 8001 Graduate Teaching Instruction  Student Evaluations For graduate students who will be GTA for a course taught by CE faculty who have granted Instructor Permission for that section. Prerequisites: Instructor Permission
186,8999,Thesis,CE 8999 Thesis  Student Evaluations Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. Registration may be repeated as necessary. Prerequisites: Instructor Permission
187,9999,Dissertation,CE 9999 Dissertation  Student Evaluations Formal record of student commitment to doctoral research under the guidance of a faculty advisor. Prerequisites: Instructor Permission
188,2001,Sustainability Science,"CE 2001 Sustainability Science  Student Evaluations Sustainability is the challenge of meeting today's needs without impairing the needs of future societies. This course seeks to provide an integrated scientific foundation to understand the sustainability of environmental systems and of some science-based sustainable solutions. Sustainability science will draw from a spectrum of relevant sciences, including chemistry, biology, environmental science, and physics. Pre-requisite: CHEM 1410 or CHEM 1810"
189,2020,Engineering Economic Analysis,"CE 2020 Engineering Economic Analysis  Student Evaluations This purpose of this course is to introduce and familiarize students with engineering economics. Students will apply the concepts of the time value of money to infrastructure management. Students will be able to compare cash flows using net present value, future value, and cost-benefit analysis. Students will use cost indices to complete cost estimations. Students will be able to make appropriate adjustments for depreciation and inflation."
190,2100,Introduction to Environmental Engineering,"CE 2100 Introduction to Environmental Engineering  Student Evaluations Focuses on society's interaction with water, air, and soil systems. Management of these major environmental components is examined, considering health and ecological needs and technical limitations. This course may stand alone as introduction to the current environmental challenges that we face, or as the foundation for further study in the field of environmental engineering. Prerequisites: CHEM 1410 or CHEM 1610"
191,2110,Environmental Engineering Laboratory,"CE 2110 Environmental Engineering Laboratory  Student Evaluations Lab study/basic principles in environmental engineering inc. reactor theory, fate & transport in the environment, wastewater treatment unit operations, climate change dynamics, & life cycle assessment. Lab, field, & online simulations will be used to produce data for analysis. Opportunity to develop design/experiments methodologies and to work in teams on written reports. Corequisite CE 2100"
192,2310,Strength of Materials,"CE 2310 Strength of Materials  Student Evaluations Normal stress and strain, thermal strain, shear stress, shear strain; stress and strain transformations; Mohr's circle for plane stress and strain; stresses due to combined loading; axially loaded members; torsion of circular and thin-walled closed sections; deformation, strains and stresses in beams; beam deflections; column stability; energy concepts in mechanics. Cross-listed as MAE 2310. Prerequisite: CE 2300 or MAE 2300"
193,3000,Civil Engineering Systems Analysis,"CE 3000 Civil Engineering Systems Analysis  Student Evaluations This course focuses on the analysis and management of large-scale civil engineering systems. Students will be introduced to problem formulation, linear programming, and decision analysis, with applications in structural optimization, traffic flow, resource allocation and environmental design. Prerequisites: CE 2010 or SYS 2001"
194,3050,Energy Systems and the Environment,"CE 3050 Energy Systems and the Environment  Student Evaluations Course provides a hands-on overview in energy infrastructure as it relates to climate and the environment. Students will learn quantitative tools to analyze power, buildings, manufacturing, and transportation systems. The course will explore the broad impacts of the energy transition away from fossil fuels. Students will undertake an open-ended, team-based life cycle assessment project.  Prerequisites: CE2100 or CHE2215."
195,3120,Solid Waste Management,"CE 3120 Solid Waste Management  Student Evaluations This course introduces students to the methods used by today's engineers regarding the management of solid waste. Specific topics include: solid waste management history and regulation; current issues regarding solid waste; planning, design, and operation of landfills; recycling facility operations; alternate solid waste disposal methods; and composting. Prerequisites: APMA 3110"
196,3220,Water Resources Engineering,"CE 3220 Water Resources Engineering  Student Evaluations Covers topics related to hydraulics and hydrology, including complicated pipes designs, pumps, open channel, rainfall, evaporation, and surface runoff applied to stormwater and bmp design. Applications include water supply, drainage, flood control, and water control, and computer modeling. Prerequisite: CE 3210"
197,3222,Water Resources Engineering Workshop,CE 3222 Water Resources Engineering Workshop  Student Evaluations Introduction to computational tools and approaches common in water resource engineering. Topics include: geographic information systems (GIS) for water resources; software tools applied for hydrologic and hydraulic data analysis and visualization; and use of industry-standard hydrology and hydraulic models water resource system simulation and design. Pre/Coreq: Students must have completed or currently enrolled in CE 3220.
198,3400,Transportation Infrastructure Design,"CE 3400 Transportation Infrastructure Design  Student Evaluations Fundamentals of transportation infrastructure design will be covered. Topics include: analysis of the characteristics of the driver, pedestrian, vehicle, and road; highway geometric design; intersection desgin and operations; highway drainage and drainage structures; highway pavement design. Prerequisite: CE 2010 and Third-year standing."
199,3402,Transportation Infrastructure Design Workshop,"CE 3402 Transportation Infrastructure Design Workshop  Student Evaluations Computer aided design applications of the fundamentals of transportation infrastructure design using real world scenarios. Application topics include: highway geometric design for highway facilities; intersection design including at-grade, roundabouts, and grade separated interchanges, and the transportation improvements associated with a new development. Co-requisite: CE 3400. Prerequisite: CE 2010, CE 2305, CE 3700"
200,4025,Virtual Design and Construction (VDC) Coordination and Control,"CE 4025 Virtual Design and Construction (VDC) Coordination and Control  Student Evaluations Students will learn how to use Building Information Modeling (BIM) to 1) support the decision-making over a project life cycle and 2) improve coordination between stakeholders throughout the design and construction stages. With this hands-on course, students will learn how to integrate all models of a project to visualize construction processes and better predict, manage, and communicate project outcomes."
201,4040,Sustainability and Systems in the Built Environment,"CE 4040 Sustainability and Systems in the Built Environment  Student Evaluations This course takes a systems perspective to study and design for sustainability in the built environment at various scales (e.g., materials, buildings, cities, and regions) and for different types of systems (e.g., physical, social, information). Students from SEAS, A-School, and other majors are welcome in this course, which emphasizes interdisciplinary design collaboration and diversity of thought."
202,4990,Civil Engineering Design and Practice I,"CE 4990 Civil Engineering Design and Practice I  Student Evaluations Team-based project course focusing on a design in a sub-discipline of civil and environmental engineering. Student participants will develop professional practice skills, such as project scoping, scheduling, cost-estimation, and appropriate technical communication, and visual representation of designs. Projects will continue in CE4992. Requisites: 4th-Year Standing in Civil Engineering"
203,5035,Construction Estimating and Bidding,"CE 5035 Construction Estimating and Bidding  Student Evaluations This course provides students with an in-depth understanding of how a general contractor pursues, estimates, bids and procures work. The course will cover the full range of activities from conceptual estimating, to scoping and bidding projects, to the submission of proposals to the general contractor's clients as well as the procurement types and the corresponding strategies that a general contractor employs in the pursuit of these procurements."
204,5240,Ground-Water Hydrology and Contaminant Transport,"CE 5240 Ground-Water Hydrology and Contaminant Transport  Student Evaluations An introduction to ground-water hydrology and contaminant transport. Topics include Darcy's Law, fluid potential, hydraulic conductivity, the unsaturated zone, the 3-D equation of ground-water flow, well hydraulics and pump tests, including the principle of superposition, the advection-dispersion-reaction equation, pollutant fate and transport processes, and numerical simulation of ground-water. Prerequisites: CE 2210, CE 3200 or equivalent."
205,5300,Advanced Design of Metal Structures,"CE 5300 Advanced Design of Metal Structures  Student Evaluations Behavior and design of structural elements and systems, including continuous beams, plate girders, composite steel-concrete members, members in combined bending and compression. Structural frames, framing systems, eccentric connections, and torsion and torsional stability are also studied. (Y) Prerequisites: CE 3330 or equivalent."
206,5410,Introduction to Transportation Planning,"CE 5410 Introduction to Transportation Planning  Student Evaluations Introduces the legal requirements, framework, and principles of urban and statewide planning. Focuses on describing and applying the methodology of the forecasting system of the transportation planning process, including inventory, forecasts of population and economic activity, network analysis, and travel demand analysis."
207,5500,Special Topics in Civil Engineering,"CE 5500 Special Topics in Civil Engineering  Student Evaluations Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topic for each semester are announced at the time of course enrollment."
208,6000,Forefronts of Civil Engineering,"CE 6000 Forefronts of Civil Engineering  Student Evaluations This course is an introduction to major challenges facing civil engineering infrastructures and emerging solutions to these challenges. Innovative technologies and techniques will be presented. Topics will vary but may include sustainability, sensor technology, infrastructure security, and resiliency and design for natural disasters. Prerequisite: Graduate Standing or Instructor Permission."
209,6015,Project Management,"CE 6015 Project Management  Student Evaluations Project management skills are just as crucial to success as engineering skills. Therefore, it is essential to understand how projects are planned, executed, and managed.The purpose of this course is to introduce the principles of project management. The course will equip students with the concepts, tools, and language of project management that can be applied to any project size and type."
210,6025,Virtual Design and Construction (VDC) Coordination and Control,"CE 6025 Virtual Design and Construction (VDC) Coordination and Control  Student Evaluations In this course, students will learn how to use Building Information Modeling to 1) support the decision-making over a project life cycle and 2) improve coordination between stakeholders throughout the design and construction stages. With this hands-on course, students will learn how to integrate all project models to visualize construction process and better predict, manage, and communicate project outcomes."
211,6280,Stochastic Hydrology,"CE 6280 Stochastic Hydrology  Student Evaluations The goal of this course is to illustrate the importance of uncertainty analysis in hydrology. Topics include extreme value theory applied to floods & droughts, regionalization methods for predictions in ungauged basins, & trend analysis of historical time series. Students should leave the course with an understanding of how to apply these methods in practice to design civil infrastructure systems that are robust to hydrologic uncertainty. Prerequisite: APMA 3100 and CE 3220 or Equivalent"
212,6370,Dynamics of Structures,"CE 6370 Dynamics of Structures  Student Evaluations Study of the dynamic behavior of such structures as beams, rigid frames, floors, bridges, and multi-story buildings under the action of various disturbing forces such as wind, blasts, earthquakes, vehicles, machinery, etc.; dynamic modeling of single, multidegree of freedom, and continuous systems; damping; numerical integration; Prerequisite: Concrete and metal structure design."
213,2030,Management of Engineering and Construction Projects,"CE 2030 Management of Engineering and Construction Projects  Student Evaluations This course provides the essential aspects of the ""Project lifecycle"" process from the initial conception phase through the completion phase of a project. Specifically, by focusing on the Architecture, Engineering and Construction (AEC) projects, students will be introduced to important concepts related to planning and financing a project, budgeting and scheduling, and managing and controlling a technical engineering project."
214,4015,Construction Industry Workshop: Bringing Theory to Practice,"CE 4015 Construction Industry Workshop: Bringing Theory to Practice  Student Evaluations This course is co-taught in partnership with field engineers, project managers, subject matter experts, and executives from the top construction companies of the region, in a series of case-study sessions designed to bring CEM theory and practice into the same room. Prereq: Already taken CE 2030 or currently enrolled in CE 2030."
215,4045,Behavioral Design,"CE 4045 Behavioral Design  Student Evaluations Behavioral sciences offer rigorous and rapidly advancing insight into how people interact with their environments and with each other. This project-based course will expand students' design repertoires by connecting to psychology and related fields. This course is for ""designers"" broadly construed: those who wish to influence areas such as architecture, engineering, policy, and business. Pre-reqs: CE2010 or SYS2001 or instructor permission."
216,4160,Environmental Microbiology and Biological Waste Treatment,"CE 4160 Environmental Microbiology and Biological Waste Treatment  Student Evaluations We will explore terminology and concepts for characterizing and mathematically modeling human impacts on microbial systems and vice versa. Special consideration will be given to microbe-mediated cycling of organic materials (i.e., pollutants) in natural and engineered systems, including: conventional water and wastewater treatment, municipal landfills, pristine and contaminated groundwater and surface waters, etc. Prerequisites: CE 2100 and CE 3100"
217,5400,Traffic Operations,"CE 5400 Traffic Operations  Student Evaluations This course provides students with fundamental knowledge of traffic operations including traffic data collection and analysis, safety and crash studies, traffic flow theory, highway capacity analysis, signalized intersection design and analysis, simulation modeling, and sustainable transportation system."
218,6230,Hydrology,"CE 6230 Hydrology  Student Evaluations Stresses the quantitative description and the physical basis of hydrology. Both deterministic and stochastic methodology are applied to the analysis of the hydrologic cycle, namely, precipitation, evaporation, overland flow and stream flow, infiltration, and groundwater flow. The use of compute simulation models, especially microcomputer based models, is emphasized. Prerequisite: Instructor permission."
219,6260,Environmental Microbiology and Biological Waste Treatment,"CE 6260 Environmental Microbiology and Biological Waste Treatment  Student Evaluations We will explore terminology and concepts for characterizing and mathematically modeling human impacts on microbial systems and vice versa. Special consideration will be given to microbe-mediated cycling of organic materials (i.e., pollutants) in natural and engineered systems, including: conventional water and wastewater treatment, municipal landfills, pristine and contaminated groundwater and surface waters, etc."
220,2500,Special Topics in Civil Engineering,"CE 2500 Special Topics in Civil Engineering  Student Evaluations Applies basic engineering principles, analytical procedures and design methodology to special problems of current interest in civil engineering. Topics for each semester are announced at the time of course enrollment. Check with the course instructor regarding any prerequisites. Prerequisite: Instructor's Permission"
221,4110,Environmental Systems Modeling & Management,"CE 4110 Environmental Systems Modeling & Management  Student Evaluations The course emphasizes the formulation of environmental management issues as optimization problems. Simulation models will be presented and then combined with optimization algorithms. Environmental systems to be addressed include stream quality, air quality, water supply, waste management, groundwater remediation, and reservoir operations. Optimization techniques presented include linear programming, dynamic programming, and genetic algorithms."
222,4990,Civil Engineering Research and Design,"CE 4990 Civil Engineering Design and Practice I  Student Evaluations Team-based project course focusing on a design in a sub-discipline of civil and environmental engineering. Student participants will develop professional practice skills, such as project scoping, scheduling, cost-estimation, and appropriate technical communication, and visual representation of designs. Projects will continue in CE4992. Requisites: 4th-Year Standing in Civil Engineering"
223,5310,Prestressed Concrete Design,"CE 5310 Prestressed Concrete Design  Student Evaluations This course in an introduction to the design and behavior of prestressed concrete elements. It covers prestressing materials and concepts, working stress analysis and design for flexure, strength analysis and design for flexure, prestress losses, design for shear, composite prestressed beams, continuous prestressed beams, prestressed concrete systems concepts, load balancing, and slab design. Prerequisite: CE 3300 or equivalent."
224,6250,Environmental Systems Modeling & Management,"CE 6250 Environmental Systems Modeling & Management  Student Evaluations The course emphasizes the formulation of environmental management issues as optimization problems. Simulation models will be presented and then combined with optimization algorithms. Environmental systems to be addressed may include stream quality, air quality, water supply, groundwater remediation, and reservoir operations. Optimization techniques presented include linear programming, dynamic programming, and genetic algorithms."
225,6440,Advanced Transportation Systems,"CE 6440 Advanced Transportation Systems  Student Evaluations The surface transportation system is transforming into a cyber-physical system, with the wide-scale use of sensors and communications in infrastructure management, integration of wireless device apps for improved traveler situational awareness, and introduction of connected and automated vehicles. This course explores the resulting ""intelligent transportation system"" through readings, case studies, projects, and discussion forums."
226,1501,Special Topics in Civil & Environmental Engineering,CE 1501 Special Topics in Civil & Environmental Engineering  Student Evaluations Student-led special topic courses which vary by semester
227,3050,Introduction to Green Engineering,"CE 3050 Energy Systems and the Environment  Student Evaluations Course provides a hands-on overview in energy infrastructure as it relates to climate and the environment. Students will learn quantitative tools to analyze power, buildings, manufacturing, and transportation systems. The course will explore the broad impacts of the energy transition away from fossil fuels. Students will undertake an open-ended, team-based life cycle assessment project.  Prerequisites: CE2100 or CHE2215."
228,6490,Transportation Data Analysis and Modeling,"CE 6490 Transportation Data Analysis  Student Evaluations This course introduces the various methods of data acquisition and analysis in transportation. By the end of this course, students should be able to 1) characterize data sets and modeling methods in existing transportation research; 2) design, develop, implement, and evaluate surveys of stated & revealed travel behaviors; and 3) identify & apply appropriate analytical tools for a variety of transport data types."
229,5700,Foundations Engineering,"CE 5700 Foundations Engineering  Student Evaluations Foundation engineering is the application of soil mechanics in the design of foundation elements for structures. The course covers properties of soils; subsurface exploration; bearing capacity; design of shallow foundations and mats; earth pressure theories and applications to design of retaining structures; stability of slopes; and an introduction to deep foundations. Prerequisites: CE 3310, CE 3710."
230,6035,Leadership and Negotiation,"CE 6035 Leadership and Negotiation  Student Evaluations In this course, students will become familiar with the different ways of exercising leadership and the essential negotiation concepts and strategies. They will identify their strengths and weaknesses and learn how to best work with others in a leadership context. The course's fundamental concepts will be learned through readings and class discussions, and skills will be practiced with role-playing simulations and construction-related case studies."
231,6290,Hydroinformatics,"CE 6290 Hydroinformatics  Student Evaluations This course introduces the field of hydroinformatics. Hydroinformatics is an interdisciplinary field concerned with methods, software, and hardware tools for understanding and sustainability managing water resource systems. The course covers core concepts and methods in hydroinformatics including data collection, management, analysis, visualization, and modeling."
232,6450,Transportation Safety Engineering,"CE 6450 Transportation Safety Engineering  Student Evaluations A study of different transportation systems management strategies with specific emphasis on their impact on safety, including methods of obtaining and analyzing crash data. Emphasis is also placed on the interaction of human and vehiclecharacteristics and the road environment on safety."
233,6750,Mechanics of Composite Materials,"CE 6750 Mechanics of Composite Materials  Student Evaluations Analyzes the properties and mechanics of fibrous, laminated composites; stress, strain, equilibrium, and tensor notation; micromechanics, lamina, laminates, anisotropic materials, classical lamination theory, stiffness and strength, interlaminar stresses, fabrication, and test methods; thermal stresses, analysis, design and computerized implementation. Taught concurrently with AM 6650. Prerequisite: CE 2310 or equivalent and a computer language"
234,5320,Advanced Reinforced Concrete Design,"CE 5320 Advanced Reinforced Concrete Design  Student Evaluations Advanced topics in reinforced concrete design, including design of slender columns, deflections, torsion in reinforced concrete, design of continuous frames, and two-way floor systems. Introduction to design of tall structures in reinforced concrete, and design of shear walls. Prerequisite: CE 3310. Prerequisite:Graduate standing ; instructor permission as 4th yr civil major/minor."
235,6555,Special Topics in Distance Learning,CE 6555 Special Topics in Distance Learning  Student Evaluations Special Topics in Distance Learning
236,6460,Introduction to Integrated Transportation Systems Models,"CE 6460 Introduction to Integrated Transportation Systems Models  Student Evaluations The purpose of this course is to introduce students to core models that support transportation engineering. In addition, the course provides a background on fundamental mathematical and heuristic search methods, optimization theory, stochastic optimization, and graph theory that underpin the transportation models."
237,7500,Special Topics in Civil Engineering,CE 7500 Special Topics in Civil Engineering  Student Evaluations Detailed study of special topics in civil engineering. Doctoral-level graduate students. Prerequisites: Instructor Permission
238,5000,Management Large-Scale Construction Projects,"CE 5000 Management Large-Scale Construction Projects  Student Evaluations Large-scale construction projects demand engineers with strong technical abilities, as well as sound project management knowledge. This course provides a foundation for students with hands-on projects in project delivery methods, contract vehicles, finance, scheduling, estimating, project control, and project commissioning. The course will also include project case studies from construction professionals. Prerequisite: CE 2020 or equivalent"
239,1110,Introduction to Programming,"CS 1110 Introduction to Programming  Student Evaluations A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
240,1111,Introduction to Programming,"CS 1111 Introduction to Programming  Student Evaluations A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students should have some experience with programming. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
241,1112,Introduction to Programming,"CS 1112 Introduction to Programming  Student Evaluations A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students must have no previous programming experience. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
242,1501,Special Topics in Computer Science,CS 1501 Special Topics in Computer Science  Student Evaluations Student led special topic courses which vary by semester.
243,2100,Data Structures and Algorithms 1,"CS 2100 Data Structures and Algorithms 1  Student Evaluations A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
244,2120,Discrete Mathematics and Theory 1,"CS 2120 Discrete Mathematics and Theory 1  Student Evaluations Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Prereq: Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 or CS 2100 place out test."
245,2130,Computer Systems and Organization 1,"CS 2130 Computer Systems and Organization 1  Student Evaluations This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
246,2501,Special Topics in Computer Science,"CS 2501 Special Topics in Computer Science  Student Evaluations Content varies, depending on instructor interests and the needs of the Department. Taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
247,2910,CS Education Practicum,"CS 2910 CS Education Practicum  Student Evaluations An overview of computer science education for undergraduate students. Topics include ethics, diversity, tutoring and teaching techniques, and classroom management. Students enrolled in this course serve as a teaching assistant for a computer science course as part of their coursework."
248,3100,Data Structures and Algorithms 2,"CS 3100 Data Structures and Algorithms 2  Student Evaluations Builds upon previous analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, dynamic programming, and machine learning. Analysis techniques include asymptotic worst case, expected time, amortized analysis, and reductions. Prerequisites: CS 2100 & CS 2120. Background in topics covered in a first course in Calculus is required. CS 3140 is recommended."
249,3120,Discrete Mathematics and Theory 2,"CS 3120 Discrete Mathematics and Theory 2  Student Evaluations The goal of this course is to understand the fundamental limits on what can be efficiently computed. These limits reveal properties about information, communication, and computing, as well as practical issues about how to solve problems. Introduces computation theory including grammars, automata, and Turing machines. Prereq: CS 3100 with a grade of C- or better"
250,3130,Computer Systems and Organization 2,"CS 3130 Computer Systems and Organization 2  Student Evaluations A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
251,3140,Software Development Essentials,"CS 3140 Software Development Essentials  Student Evaluations A first course in software engineering and software construction, this course focuses on bringing the programming concepts learned in a first course in data structures and algorithms together to begin to teach students how to build more complex systems. The course covers introductory topics in testing, software design principles, design patterns, functional programming, and data storage and manipulation. Completed CS 2100 with a C- or better."
252,3205,HCI in Software Development,"CS 3205 HCI in Software Development  Student Evaluations Human-computer interaction and user-centered design in the context of software engineering. Examines the fundamental principles of human-computer interaction. Includes evaluating a system's usability based on well-defined criteria; user and task analysis, as well as conceptual models and metaphors; the use of prototyping for evaluating design alternatives; and physical design of software user-interfaces, including windows, menus, and commands. Prerequisite: CS 2100 with a grade of C- or better OR successfully completed the CS 2100 place out test."
253,3240,Software Engineering,"CS 3240 Software Engineering  Student Evaluations Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, configuration control, and documentation. Prerequisite: CS 3140 with a grade of C- or better"
254,3250,Software Testing,"CS 3250 Software Testing  Student Evaluations An introduction to testing for assuring software quality. Covers concepts and techniques for testing software, including testing at the unit, module, subsystem, and system levels; automatic and manual techniques for generating and validating test data; the testing process; static vs. dynamic analysis; functional testing; inspections; testing in specific application domains; and reliability assessment. Prerequisite: CS 2100 and CS 2120 (OR CS 2100 place out test and CS 2120) with a grade of C- or better"
255,3710,Introduction to Cybersecurity,"CS 3710 Introduction to Cybersecurity  Student Evaluations Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2100 and CS 2130 or (CS 2100 place out test and CS 2130) with a grade of C- or better."
256,4260,Internet Scale Applications,"CS 4260 Internet Scale Applications  Student Evaluations A survey of methods for building large-scale internet websites and mobile apps, with a focus on how theory meets practice. Topics covered include performance engineering, scaling, security, and large team software engineering. Results in students building a working scalable online application. Prerequisites: CS 3240 with a grade of C- or better"
257,4434,Dependable Computing Systems,"CS 4434 Dependable Computing Systems  Student Evaluations Focuses on techniques for designing & analyzing dependable computer-based systems. Topics include basic dependability concepts & attributes, fault models & effects, combinatorial & state-space modeling, hardware redundancy, error detecting & correcting codes, time redundancy, software fault tolerance, checkpointing & recovery, reliable networked systems, error detection techniques, & experimental dependability evaluation techniques. Prereq:CS 3330 or CS 2501 topic ""COA 2"" or ECE 3430 or ECE 4435 or ECE 3502 topic ""ECR II"" or CS 3130 and CS 3140; APMA 3100, APMA 3110, MATH 3100, or equivalent. Must complete CS courses with a grade of C- or better."
258,4444,Introduction to Parallel Computing,"CS 4444 Introduction to Parallel Computing  Student Evaluations Introduces the student to the basics of high-performance parallel computing and application development for massively parallel processors (e.g., GPUs). The course will also introduce the internal architecture of these parallel processors and its impact on performance.  Prerequisite:  CS 3100 and CS 3130 with a C- or better."
259,4457,Computer Networks,"CS 4457 Computer Networks  Student Evaluations A first course in communication networks for upper-level undergraduate students. Topics include the design of modern communication networks; point-to-point and broadcast network solutions; advanced issues such as Gigabit networks; ATM networks; and real-time communications. Cross-listed as ECE 4457. Prerequisite: CS 3330 or CS 2501 topic ""COA 2"" or ECE 3430 or ECE 4435 or ECE 3502 topic ""ECR II"" or CS 3130. Must complete CS courses with a grade of C- or better."
260,4501,Special Topics in Computer Science,"CS 4501 Special Topics in Computer Science  Student Evaluations Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
261,4610,Programming Languages,CS 4610 Programming Languages  Student Evaluations Presents the fundamental concepts of programming language design and implementation. Emphasizes language paradigms and implementation issues. Develops working programs in languages representing different language paradigms. Many programs oriented toward language implementation issues. Prerequisite: CS 2150 or (CS 2120 and 3140) with a grade of C- or better
262,4630,Defense Against the Dark Arts,"CS 4630 Defense Against the Dark Arts  Student Evaluations Viruses, worms, and other malicious software are an ever-increasing threat to computer systems. There is an escalating battle between computer security specialists and the designers of malicious software. This course provides an essential understanding of the techniques used by both sides of the computer security battle. Prerequisite: CS 3710 with a grade of C- or better"
263,4640,Programming Languages for Web Applications,"CS 4640 Programming Languages for Web Applications  Student Evaluations Presents programming languages and implementations used in developing web applications. Both client and server side languages are presented as well as database languages. In addition, frameworks that enable interactive web pages are discussed as well as formatting languages. Language features and efficiencies including scoping, parameter passing, object orientation, just in time compilation and dynamic binary translation are included. Prerequisite: CS 2150 or CS 3140 with a grade of C- or better"
264,4710,Artificial Intelligence,"CS 4710 Artificial Intelligence  Student Evaluations Introduces artificial intelligence. Covers fundamental concepts and techniques and surveys selected application areas. Core material includes state space search, logic, and resolution theorem proving. Application areas may include expert systems, natural language understanding, planning, machine learning, or machine perception. Provides exposure to AI implementation methods, emphasizing programming in Common LISP. Prerequisite: CS 3100 with a grade of C- or better"
265,4740,Cloud Computing,"CS 4740 Cloud Computing  Student Evaluations Investigates the architectural foundations of the various cloud platforms, as well as examining both current cloud computing platforms and modern cloud research. Student assignments utilize the major cloud platforms. Prerequisite: CS 2150 or CS 3140 with a grade of C- or better"
266,4750,Database Systems,"CS 4750 Database Systems  Student Evaluations Introduces the fundamental concepts for design and development of database systems. Emphasizes relational data model and conceptual schema design using ER model, practical issues in commercial database systems, database design using functional dependencies, and other data models. Develops a working relational database for a realistic application. Prerequisite: CS 2150 or (CS 2120 and 3140) with a grade of C- or better"
267,4770,Natural Language Processing,"CS 4770 Natural Language Processing  Student Evaluations This course explores Natural Language Processing (NLP), examining how computers are trained to understand and process human language. Students will gain a thorough understanding of both core NLP concepts and advanced techniques, including text analysis, language modeling, machine translation, question answering, text generation, conversation modeling, and the latest advancements in large language models. Prerequisite: CS 3100 with a grade of a C- or better and APMA 3080 or equivalent."
268,4771,Reinforcement Learning,CS 4771 Reinforcement Learning  Student Evaluations This course aims to give an introduction to basic ideas and concepts of RL while avoiding deep dive in mathematical treatments. The course will help the student build an intuitive understanding of RL and give students hands-on experience on small-scale RL problems. Prerequisite: CS 2100 with a grade of C- or better or successfully complete the CS 2100 place out test.
